Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
African Viral Hemorrhagic Fevers Studies in the Central-African-Republic,"Gonzalez, J. P.; McCormick, J. B.; Saluzzo, J. F.; Georges, A. J.","Results obtained from a study of African hemorrhagic fever in the Central African Republic over 4 yr (1979-1982) are summarized. Serologic and/or virus isolation studies were carried out on 1909 human sera, 565 animal sera and 383 tissue specimens. The percentages of immunofluorescent antibody-positive human sera to 6 different antigens were 0.2% anti-Lassa, 4.5% anti-Ebola, 0.6% anti-Marburg, 0.2% anti-Congo Crimean hemorrhagic fever, 1.2% anti-Rift Valley fever virus and 1.3% anti-Hantaan virus. Among animals studied 16.9% of Praomys and 3.4% of Mastomys had antibodies to Lassa virus. Of dogs and domesticated guinea pigs, 17.3 and 16.3%, respectively, had antibodies to Ebola virus; these must be interpreted with caution. Evidence of infection was found for all viruses studied; these results are discussed in light of the associated diseases. A summary of data is given on 10 strains of arenavirus, antigenically similar to Lassa, isolated from rodents (Praomys sp. and Mastomys sp.) captured in the Central African Republic.",1983,1983,Cahiers O.R.S.T.O.M. (Office de la Recherche Scientifique et Technique Outre-Mer) Serie Entomologie Medicale et Parasitologie,21,2,119-130,BCI:BCI198478007131,,,#769,Gonzalez 1983,Exclusion reason: 2 not English; ,""
Antibody Prevalence against Hemorrhagic-Fever Viruses in Randomized Representative Central African Populations,"Gonzalez, J. P.; Josse, R.; Johnson, E. D.; Merlin, M.; Georges, A. J.; Abandja, J.; Danyod, M.; Delaporte, E.; Dupont, A.; Ghogomu, A.; Koukabemba, D.; Madelon, M. C.; Sima, A.; Meunier, D. M. Y.",,1989,Jul-Aug,Research in Virology,140,4,319-331,WOS:A1989AN19700005,,,#772,Gonzalez 1989,Exclusion reason: 1 duplicate; ,Duplicate
Evolutionary Biology of a Lassa Virus Complex,"Gonzalez, J. P.; Georges, A. J.; Kiley, M. P.; Meunier, D. M. Y.; Peters, C. J.; McCormick, J. B.",,1986,1986,Medical Microbiology and Immunology,175,2-3,157-159,WOS:A1986C811500025,,,#774,Gonzalez 1986,Exclusion reason: 5 no report of parameters ; ,""
Genetic Variation among Lassa and Lassa Related Arenaviruses from Different African Origins,"Gonzales, J. P.; McCormick, J. B.; Peters, C. J.; Kiley, M. P.",,1985,1985,Virus Research,,SUPPL. 1,87-87,BCI:BCI198630017388,,,#777,Gonzales 1985,Exclusion reason: 3 wrong pathogen / epi not main focus; ,""
"Rodent-borne hemorrhagic fevers: under-recognized, widely spread and preventable - epidemiology, diagnostics and treatment","Goeijenbier, Marco; Wagenaar, Jiri; Goris, Marga; Martina, Byron; Henttonen, Heikki; Vaheri, Antti; Reusken, Chantal; Hartskeerl, Rudy; Osterhaus, Albert; Van Gorp, Eric","This review presents an overview of the most important rodent-borne hemorrhagic fever pathogens directly transmitted from rodents to humans, namely Leptospira and hantaviruses, together with the New- and Old-World arenaviruses. These zoonotic diseases frequently share clinical symptoms, transmission routes and other epidemiological features and often have an emerging pattern. Differential diagnostics could benefit from a syndrome-based approach grouping these pathogens. In this review extensive descriptions of the epidemiology, clinical symptoms, diagnostics and treatment are provided including a practical overview, listing clinical features, diagnostics and risk factors for each selected rodent-borne hemorrhagic fever pathogen.",2013,Feb,Critical Reviews in Microbiology,39,1,26-42,WOS:000313862100003,,,#786,Goeijenbier 2013,Exclusion reason: 6 not original estimates/ primary data; ,review
Understanding the cryptic nature of Lassa fever in West Africa,"Gibb, Rory; Moses, Lina M.; Redding, David W.; Jones, Kate E.","Lassa fever (LF) is increasingly recognized by global health institutions as an important rodent-borne disease with severe impacts on some of West Africa's poorest communities. However, our knowledge of LF ecology, epidemiology and distribution is limited, which presents barriers to both short-term disease forecasting and prediction of long-term impacts of environmental change on Lassa virus (LASV) zoonotic transmission dynamics. Here, we synthesize current knowledge to show that extrapolations from past research have produced an incomplete picture of the incidence and distribution of LF, with negative consequences for policy planning, medical treatment and management interventions. Although the recent increase in LF case reports is likely due to improved surveillance, recent studies suggest that future socio-ecological changes in West Africa may drive increases in LF burden. Future research should focus on the geographical distribution and disease burden of LF, in order to improve its integration into public policy and disease control strategies.",2017,2017,Pathogens and Global Health,111,6,276-288,WOS:000414519100002,,,#795,Gibb 2017,Exclusion reason: 6 not original estimates/ primary data; ,review
"Lassa fever outbreak involving healthcare workers in Taraba State, Nigeria, March 2012","Getso, K. I.; Balogun, M. S.; Nasidi, A.; Gidado, S.; Nguku, P.; Oladejo, J.; Ajisegiri, S.; Oyemakinde, A.",,2014,Apr,International Journal of Infectious Diseases,21,,216-216,WOS:000209704000455,,,#796,Getso 2014,"Exclusion reason: 7 not peer reviewed; David Jorgensen (2019-06-21 20:36:04)(Select): poster
; ",""
Hemorrhagic Fevers of Africa - Account of 2 Recent Outbreaks,"Gear, J. H. S.",,1977,1977,Journal of the South African Veterinary Association-Tydskrif Van Die Suid-Afrikaanse Veterinere Vereniging,48,1,5-8,WOS:A1977DJ19600002,,,#807,Gear 1977,Exclusion reason: 4 case report/study; ,""
Changing Patterns of Communicable Disease in England and Wales .1. Newly Recognized Diseases,"Galbraith, N. S.; Forbes, P.; Mayonwhite, R. T.",,1980,1980,Bmj-British Medical Journal,281,6237,427-430,WOS:A1980KC65800014,,,#818,Galbraith 1980,Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-03-27 22:16:33)(Screen): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1713331/?page=1; ,""
Lassa Fever (Lf) and Marburg Disease (Mvd) - Public-Health Aspects of Viral Hemorrhagic Fevers in Britain,"Galbraith, N. S.; Berrie, J. R. H.; Forbes, P.; Young, S.",,1978,1978,Royal Society of Health Journal,98,4,152-+,WOS:A1978FM19900007,,,#819,Galbraith 1978,Exclusion reason: 6 not original estimates/ primary data; ,Cost data
Viral haemorrhagic fevers in healthcare settings,"Ftika, L.; Maltezou, H. C.","Viral haemorrhagic fevers (VHFs) typically manifest as rapidly progressing acute febrile syndromes with profound haemorrhagic manifestations and very high fatality rates. VHFs that have the potential for human-to-human transmission and onset of large nosocomial outbreaks include Crimean-Congo haemorrhagic fever, Ebola haemorrhagic fever, Marburg haemorrhagic fever and Lassa fever. Nosocomial outbreaks of VHFs are increasingly reported nowadays, which likely reflects the dynamics of emergence of VHFs. Such outbreaks are associated with an enormous impact in terms of human lives and costs for the management of cases, contact tracing and containment. Surveillance, diagnostic capacity, infection control and the overall preparedness level for management of a hospital-based VHF event are very limited in most endemic countries. Diagnostic capacities for VHFs should increase in the field and become affordable. Availability of appropriate protective equipment and education of healthcare workers about safe clinical practices and infection control is the mainstay for the prevention of nosocomial spread of VHFs. (C) 2012 The Healthcare Infection Society. Published by Elsevier Ltd. All rights reserved.",2013,Mar,Journal of Hospital Infection,83,3,185-192,WOS:000315160300002,,,#825,Ftika 2013,Exclusion reason: 6 not original estimates/ primary data; ,review
Nigerian Lassa Fever Outbreak Caused by Rodents,"Friedrich, M. J.",,2018,Dec 18,Jama-Journal of the American Medical Association,320,23,2412-2412,WOS:000453596700003,,,#827,Friedrich 2018,Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-03-27 22:11:09)(Screen): commentary; ,""
The Story of Lassa Fever .2. Learning More About the Disease,"Frame, J. D.",,1992,Jun,New York State Journal of Medicine,92,6,264-267,WOS:A1992JA60500009,,,#843,Frame 1992,Exclusion reason: 6 not original estimates/ primary data; Christian Morgenstern (2023-09-06 03:41:06)(Select): page 382 out of 806 in online archive; Natsuko Imai (2019-10-26 02:30:16)(Select): waiting on full text; ,""
Surveillance of Lassa Fever in Missionaries Stationed in West-Africa,"Frame, J. D.",,1975,1975,Bulletin of the World Health Organization,52,4-6,593-598,WOS:A1975BZ39800026,,,#846,Frame 1975,"Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-03-27 23:23:35)(Screen): To determine the distribution of Lassa virus in West Africa, a serological survey was undertaken. A number of mission hospital supplied sera from patients admitted with a history of fever and specimens were also collected in New York from missionaries who had experienced an unusual febrile illness while working in Africa. More cases of Lassa fever were detected among missionaries than among Africans, possibly because many African patients had left hospital before the complement fixation tests had become positive. Although most adults had fairly high fever and some were prostrated, fever was less severe in the children examined. In general the findings confirm that not all Lassa fever patients have the severe syndrome described in the original reports; ",""
Longitudinal Surveillance of Lassa Fever in a West-African Village with Endemic Disease - a One-Year Report,"Morens, D.; McCormick, J.; Webb, P.; Johnson, K.",,1980,1980,American Journal of Epidemiology,112,3,432-432,WOS:A1980KH85800059,,,#863,Morens 1980,Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-26 03:06:40)(Select): abstract exclude; ,""
Pathogenesis of arenavirus hemorrhagic fevers,"Moraz, Marie-Laurence; Kunz, Stefan","Viral hemorrhagic fevers (VHFs) caused by arenaviruses belong to the most devastating emerging human diseases and represent serious public health problems. Arenavirus VHFs in humans are acute diseases characterized by fever and, in severe cases, different degrees of hemorrhages associated with a shock syndrome in the terminal stage. Over the past years, much has been learned about the pathogenesis of arenaviruses at the cellular level, in particular their ability to subvert the host cell's innate antiviral defenses. Clinical studies and novel animal models have provided important new information about the interaction of hemorrhagic arenaviruses with the host's adaptive immune system, in particular virus-induced immunosuppression, and have provided the first hints towards an understanding of the terminal hemorrhagic shock syndrome. The scope of this article is to review our current knowledge on arenavirus VHF pathogenesis with an emphasis on recent developments.",2011,Jan,Expert Review of Anti-Infective Therapy,9,1,49-59,WOS:000288974400012,,,#864,Moraz 2011,Exclusion reason: 6 not original estimates/ primary data; ,review
Lassa Virus Isolation from Mastomys Natalensis Rodents during an Epidemic in Sierra-Leone,"Monath, T. P.; Newhouse, V. F.; Kemp, G. E.; Setzer, H. W.; Cacciapu.A,",,1974,1974,Science,185,4147,263-265,WOS:A1974T458000018,,,#872,Monath 1974,"Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-03-28 01:59:13)(Screen): Lassa fever is a severe febrile illness of man, first recognized in West Africa in 1969. During an epidemic in Sierra Leone, Lassa virus was isolated for the first time from wild rodents of Mastomys natalensis. A high prevalence of infected Mastomys was found in houses occupied by patients with Lassa fever. The data presented provide the first demonstration of an extra-human cycle of Lassa virus transmission and suggest that rodent control may be an effective method of limiting the disease.; ",Seroprevalence in animals
Lassa Fever Current Epidemiological and Clinico Pathological Concepts,"Monath, T. P.; Fraser, D. W.; Campbell, C. C.",,1973,,,,,31-31,BCI:BCI197511007268,,,#876,Monath 1973,Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-26 03:06:19)(Select): exclude book; ,""
Lassa Fever - New Issues Raised by Field Studies in West-Africa,"Monath, T. P.",,1987,Mar,Journal of Infectious Diseases,155,3,433-436,WOS:A1987G064200010,,,#877,Monath 1987,Exclusion reason: 6 not original estimates/ primary data; ,""
Lassa Fever Current Problems and Future Prospects,"Monath, T. P.","The article presents data on the studies into Lassa fever. Georgraphical distribution of the disease, sources of infection and potential routes of transmission of the virus are discussed, and the clinical picture of the disease is described. Some prospectives for further studies of Lassa fever are considered.",1977,1977,Vestnik Akademii Meditsinskikh Nauk SSSR,,5,35-42,BCI:BCI197865002710,,,#878,Monath 1977,Exclusion reason: 2 not English; Natsuko Imai (2019-10-26 03:00:20)(Select): russian; ,""
"Lassa Fever - Past, Present and Possible Future Status","Monath, T. P.",,1977,1977,Medicina-Buenos Aires,37,,167-174,WOS:A1977ED54400022,,,#879,Monath 1977,Exclusion reason: 6 not original estimates/ primary data; ,""
Lassa Fever - Review of Epidemiology and Epizootiology,"Monath, T. P.",,1975,1975,Bulletin of the World Health Organization,52,4-6,577-592,WOS:A1975BZ39800025,,,#881,Monath 1975,Exclusion reason: 6 not original estimates/ primary data; ,review
Lassa Fever and Marburg Virus Disease,"Monath, T. P.",,1974,1974,Who Chronicle,28,5,212-219,WOS:A1974T169200002,,,#882,Monath 1974,Exclusion reason: 7 not peer reviewed; ,""
Lassa fever: a new appraisal,"Monath, T. P.",,1973,1973-Jul,Nigerian medical journal : journal of the Nigeria Medical Association,3,3,162-3,MEDLINE:16366355,,,#883,Monath 1973,"Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-11-01 03:08:12)(Select): can exclude -- as not peer reviewed
; Natsuko Imai (2019-10-26 04:00:55)(Select): waiting on FT; ",""
Lassa fever,"Monath, T. P.",,1973,1973-Oct,Tropical Doctor,3,4,155-61,MEDLINE:4745120,,,#884,Monath 1973,Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-10-24 01:17:26)(Select): paper copy; ,review
Outbreak of lassa fever in Nigeria: measures for prevention and control,"Mofolorunsho, Kehinde Charles",,2016,Apr 20,Pan African Medical Journal,23,,,WOS:000376944600003,,,#891,Mofolorunsho 2016,Exclusion reason: 7 not peer reviewed; ,""
Small Mammal-Associated Zoonoses,"Mills, James N.; Fulhorst, Charles F.",,2010,Aug,Vector-Borne and Zoonotic Diseases,10,6,547-547,WOS:000281414500001,,,#896,Mills 2010,"Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-03-28 01:58:46)(Screen): Recognition of viruses as a major contributor to vector-borne diseases and other zoonoses dates back many decades. The term arbovirus (arthropod-borne virus) is widely recognized even among the lay public. A few rodent-borne viruses recognized long ago (e.g., the arenaviruses associated with Lassa fever and South American hemorrhagic fevers, and the hantaviruses associated with hemorrhagic fever with renal syndrome in Asia and Europe) were discussed under the rubric of arboviruses and even listed in the Arbovirus Catalog. A turning point came 17 years ago with the discovery of the often-fatal hantavirus pulmonary syndrome in the Americas. This discovery stimulated interest, funding, and research on rodent hosts of viruses and led to the discovery of dozens of new hantaviruses and arenaviruses; ultimately, the study of roboviruses (rodent-borne viruses) became a discipline in itself. In the last few years, we have learned that a separate order of mammals, the insectivores, are also hosts to likely dozens of hantaviruses whose role in disease is uncertain. The roboviruses have become the rainboviruses (rodent- and insectivore-borne viruses). The discovery of this tremendous diversity of viruses and hosts and the desire to understand their relationships to human disease and to environmental change have spawned new theories, controversies, and terminology: coevolution, cospeciation, spillover, host-jumping, bottom-up trophic cascades, dilution effects, and delayed density-dependence. The development of these concepts and much of the rapid growth in understanding of host–virus–human disease relationships are due to a multidisciplinary approach that combines ecology, epidemiology, virology, and molecular biology.; ",""
Current Serological Data on Viral Hemorrhagic Fevers in the Central-African-Republic,"Meunier, D. M. Y.; Johnson, E. D.; Gonzalez, J. P.; Georgescourbot, M. C.; Madelon, M. C.; Georges, A. J.",,1987,1987,Bulletin De La Societe De Pathologie Exotique,80,1,51-61,WOS:A1987H417700007,,,#901,Meunier 1987,Exclusion reason: 2 not English; David Jorgensen (2019-06-21 22:58:41)(Select): French; ,""
"Serological Study of Hemorrhagic Fevers in the Province of Haut-Ogooue, Gabon","Meunier, D. M. Y.; Dupont, A.; Madelon, M. C.; Gonzalez, J. P.; Ivanoff, B.",,1987,Apr-Jun,Annales De L Institut Pasteur-Virology,138,2,229-235,WOS:A1987H659900006,,,#902,Meunier 1987,Exclusion reason: 2 not English; David Jorgensen (2019-06-21 22:57:41)(Select): French; ,""
"Clinical Presentation of Lassa Fever Cases during Hospital Epidemic at Zorzor, Liberia, March-April 1972","Mertens, P. E.; Patton, R.; Baum, J. J.; Monath, T. P.",,1973,1973,American Journal of Tropical Medicine and Hygiene,22,6,780-784,WOS:A1973R378000017,,,#906,Mertens 1973,Exclusion reason: 4 case report/study; Natsuko Imai (2019-10-24 00:44:52)(Select): case study fewer 10 cases; Natsuko Imai (2019-10-24 00:43:38)(Select): paper copy; ,""
Lassa Virus Hepatitis - a Study of Fatal Lassa Fever in Humans,"McCormick, J. B.; Walker, D. H.; King, I. J.; Webb, P. A.; Elliott, L. H.; Whitfield, S. G.; Johnson, K. M.",,1986,Mar,American Journal of Tropical Medicine and Hygiene,35,2,401-407,WOS:A1986A672400034,,,#918,McCormick 1986,Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-10-24 01:16:15)(Select): paper copy; ,""
Lassa fever,"McCormick, J. B.; Fisher-Hoch, S. P.",,2002,,,262,,75-109,WOS:000175396700005,,,#922,McCormick 2002,"Exclusion reason: 7 not peer reviewed; David Jorgensen (2019-06-21 22:00:53)(Select): book chapter
; ",""
Lassa fever,"McCormick, J. B.","Among six arenaviruses so far known to cause human illness, only one, Lassa virus, is from Africa, where its reservoir is the ubiquitous rodent Mastomys natalensis. Among the arenaviruses, the Lassa fever virus, found throughout West Africa, affects by far the largest number of humans. After an incubation period of 7-18 days, Lassa fever begins insidiously with fever, weakness, malaise, severe headache, usually frontal, and a very painful sore throat, often with retrosternal chest pain, nausea, vomiting or diarrhea. Severe pulmonary edema and adult respiratory distress syndrome are common in fatal cases with gross head and neck edema, Marked lymphopenia and later relative or absolute neutrophilia occur which may reach as high as 30 x 10(9)/L in severely ill patients. Platelet function is markedly depressed or even absent. Increasing viremia is associated with increasing case fatality. Elevated viremia (> 10(3)) and AST (greater than or equal to 150 IU) together carry a risk of death of nearly 80%. Case fatality of hospitalized patients is about 16%. However, the death rate for all Lassa virus infections (including non-hospitalized) may be as low as 2-3%. The case-fatality rate may be as high as 30% in the third trimester of pregnancy. Nearly 30% of patients with Lassa virus infection suffer an acute loss of hearing in one or both ears. Fetal loss in infected pregnant women is as high as 87%, and does not seem to vary by trimester. Lassa fever is common in children, but may be difficult to diagnose because manifestations are general. In one hospital study in Sierra Leone, 21% of pediatric admissions had Lassa fever, with 12% fatalities. As many as 13% of all medical admissions to two study hospitals were acute Lassa virus infections, and 27% of medical deaths in the same two hospitals were attributable to laboratory-confirmed Lassa virus infections. The transmission of Lassa virus to humans is the result of contact between the rodent, M. natalensis, which prefers to occupy human habitats, and humans living in villages in many areas of West Africa. Rodents are infected in utero, and remain infected throughout life, excreting between 1000 and 10,000 infectious viral particles/mL of urine. Experimental data show that virtually all rodents excrete virus once infected. The earliest cases of Lassa fever were associated with hospital transmission and it continued to be associated with nosocomial transmission. Contact in households with persons ill: or recently ill with Lassa fever is also an important risk factor. In Sierra Leone, human antibody prevalence ranges from around 5% in coastal villages to 40% in secondary forest and savannah areas. In some highly endemic villages, 5-20% of susceptible (antidoby-negative) persons per year are infected, and seroconversion to Lassa virus antigen has been observed in 5-13% of all febrile illnesses in these villages. In Nigeria, the prevalence of antibody was from 5 to 25%, and the average prevalence was 21%. The key to prevention and control is either to interrupt the contact between infectious sources and susceptible persons or to avoid disease in the event of infection. A vaccine against Lassa virus has been made and tested in primates with substantial success. Patients treated with ribavirin at any time during their illness had significantly lower case-fatality than untreated patients with the same risk factors. Survival after convalescent plasma therapy was no higher than in those untreated. Ribavirin can prevent death in Lassa fever when given at any point during the illness, but is more effective when given early, and perhaps more effective given intravenously.",1999,,,,,177-195,WOS:000086564100019,,,#926,McCormick 1999,Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-26 02:53:46)(Select): book exclude; ,""
"Lassa fever: epidemiology, therapy and vaccine development","McCormick, J. B.",,1988,1988-Mar,Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases,62 Suppl,,353-66,MEDLINE:3138361,,,#929,McCormick 1988,"Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-10-24 01:24:01)(Select): paper copy
; ",""
Epidemiology and control of Lassa fever,"McCormick, J. B.",,1987,1987,Current Topics in Microbiology and Immunology,134,,69-78,MEDLINE:3581899,,,#930,McCormick 1987,Exclusion reason: 7 not peer reviewed; Natsuko Imai (2019-10-02 22:50:20)(Select): book - excl; ,""
"Clinical, Epidemiologic, and Therapeutic Aspects of Lassa Fever","McCormick, J. B.",,1986,1986,Medical Microbiology and Immunology,175,2-3,153-155,WOS:A1986C811500024,,,#933,McCormick 1986,Exclusion reason: 7 not peer reviewed; David Jorgensen (2019-06-21 22:00:08)(Select): conference paper; ,""
Antibodies to Hemorrhagic-Fever Viruses and to Selected Arboviruses in Monkeys from the Central-African-Republic,"Mathiot, C. C.; Herve, V. M.; Georges, A. J.",,1990,Sep-Oct,Transactions of the Royal Society of Tropical Medicine and Hygiene,84,5,732-733,WOS:A1990EG35200043,,,#940,Mathiot 1990,Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-10-24 00:53:48)(Select): paper copy; Natsuko Imai (2019-03-28 21:13:59)(Screen): https://academic.oup.com/trstmh/article-abstract/84/5/732/1915728?redirectedFrom=fulltext; ,""
Risk Maps of Lassa Fever in West Africa,"Fichet-Calvet, Elisabeth; Rogers, David John","Background: Lassa fever is caused by a viral haemorrhagic arenavirus that affects two to three million people in West Africa, causing a mortality of between 5,000 and 10,000 each year. The natural reservoir of Lassa virus is the multi-mammate rat Mastomys natalensis, which lives in houses and surrounding fields. With the aim of gaining more information to control this disease, we here carry out a spatial analysis of Lassa fever data from human cases and infected rodent hosts covering the period 1965-2007. Information on contemporary environmental conditions (temperature, rainfall, vegetation) was derived from NASA Terra MODIS satellite sensor data and other sources and for elevation from the GTOPO30 surface for the region from Senegal to the Congo. All multi-temporal data were analysed using temporal Fourier techniques to generate images of means, amplitudes and phases which were used as the predictor variables in the models. In addition, meteorological rainfall data collected between 1951 and 1989 were used to generate a synoptic rainfall surface for the same region. Methodology/Principal Findings: Three different analyses (models) are presented, one superimposing Lassa fever outbreaks on the mean rainfall surface (Model 1) and the other two using non-linear discriminant analytical techniques. Model 2 selected variables in a step-wise inclusive fashion, and Model 3 used an information-theoretic approach in which many different random combinations of 10 variables were fitted to the Lassa fever data. Three combinations of absence: presence clusters were used in each of Models 2 and 3, the 2 absence: 1 presence cluster combination giving what appeared to be the best result. Model 1 showed that the recorded outbreaks of Lassa fever in human populations occurred in zones receiving between 1,500 and 3,000 mm rainfall annually. Rainfall, and to a much lesser extent temperature variables, were most strongly selected in both Models 2 and 3, and neither vegetation nor altitude seemed particularly important. Both Models 2 and 3 produced mean kappa values in excess of 0.91 (Model 2) or 0.86 (Model 3), making them 'Excellent'. Conclusion/Significance: The Lassa fever areas predicted by the models cover approximately 80% of each of Sierra Leone and Liberia, 50% of Guinea, 40% of Nigeria, 30% of each of Cote d'Ivoire, Togo and Benin, and 10% of Ghana.",2009,Mar,PLoS Neglected Tropical Diseases,3,3,,WOS:000265536800005,,,#962,Fichet-Calvet 2009,"Exclusion reason: 3 wrong pathogen / epi not main focus; Kelly McCain (2023-09-14 21:05:25)(Included): environmental paper - no new oubreaks or parameters, non-transmission models; ",Seasonality
"Fluctuation of abundance and Lassa virus prevalence in Mastomys natalensis in Guinea, West Africa","Fichet-Calvet, Elisabeth; Lecompte, Emilie; Koivogui, Lamine; Soropogui, Barre; Dore, Amadou; Kourouma, Fode; Sylla, Oumar; Daffis, Stephane; Koulemou, Kekoura; Ter Meulen, Jan","Based on empiric surveillance data, the incidence of human Lassa fever (LF) cases in Guinea and other West African countries has been reported to increase during the dry season compared to the rainy season. To investigate possible links with the ecology of the rodent reservoir of the virus, we conducted a 2-year longitudinal survey of Mastomys natalensis in a region of high human Lassa virus (LASV) seropositivity in Guinea. Standardized rodent trapping with similar trapping efforts between seasons was performed in three villages and 53.5% (601/1123) of the animals were identified as M. natalensis using morphometric and molecular criteria. Mean trapping success (TS) of M. natalensis was always higher inside houses than in proximal cultivations. In the dry season, mean TS increased 2-fold inside houses and decreased up to 10-fold outside (p < 0.0001), suggesting aggregation of rodents inside houses due to restricted food supply. 14.5% (80/553) of M. natalensis were tested positive for Lassa virus by reverse transcription-polymerase chain reaction (RT-PCR; range, 5%-30%) and prevalence of the virus was two to three times higher in rodents captured in the rainy season than in the dry season (p < 0.05). Inside houses, however, the LASV prevalence fluctuated nonsignificantly with season. These data suggest that in Guinea the risk of LASV transmission from rodents to humans is present both in the rainy and the dry season, reflected by the occurrence of LF cases throughout the year. In the dry season, however, the increased risk of humans encountering Mastomys and their excreta inside of houses may result in an increase of human Lassa fever cases.",2007,Sum,Vector-Borne and Zoonotic Diseases,7,2,119-128,WOS:000248294100002,,,#964,Fichet-Calvet 2007,Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-03-27 21:54:27)(Screen): animal focus but talks about risk factors.; ,Seasonality; Seroprevalence in animals; Spillover
Spatial distribution of commensal rodents in regions with high and low Lassa fever prevalence in Guinea,"Fichet-Calvet, Elisabeth; Koulemou, Kekoura; Koivogui, Lamine; Soropogui, Barre; Sylla, Oumar; Lecompte, Emilie; Daffis, Stephane; Kouadio, Allali; Kouassi, Stephane; Akoua-Koffi, Chantal; Denys, Christiane; ter Meulen, Jan","Lassa fever is a hemorrhagic fever caused by all arenavirus, which affects approximately 150,000 persons per year in West Africa. It is principally transmitted by rodents of the genus Mastomys, which serve as both reservoir and vector of the virus. This study tested the hypothesis that human Lassa fever in Guinea is related to the occurrence rate of the multimammate rat, Mastomys spp, inside houses. The analysis was based both on Lassa virus antibody surveys in the human Population and the commensal rodent distribution in the same prefectures. The analysis took into account several data sets compiled from the literature (Lukashevich et al., 1993; Demby et al., 2001) and data from Our own ongoing rodent trapping activities in Guinea. The analysis revealed a probable regional gradient of introduced rodent species in houses, with the black rat, Rattus rattus, predominating on the coast and the house mouse, Mus musculus, predominating approximately 200 kin southeast to the coast. The autochthonous species, Mastomys spp, were present deep inside the Country, from High to Forest Guinea. The regression analysis of Mastomys occurrence on human Lassa virus antibody prevalence showed a positive correlation in six administrative regional districts (prefectures) between an increasing Mastomys occurrence and increasing seroprevalence. A seventh prefecture, where mainly M. musculus occurred, was discordant with this trend, and possible explanations for this divergence are discussed. The partial replacement of Mastomys by other species, especially R. rattus and Myomys daltoni, is discussed as a potential explanation for the low-prevalence of Lassa fever in certain areas.",2005,Dec,Belgian Journal of Zoology,135,,63-67,WOS:000203706900011,,,#966,Fichet-Calvet 2005,Exclusion reason: 6 not original estimates/ primary data; Natsuko Imai (2019-10-26 02:28:57)(Select): seroprevalence in humans reported from previous study; ,""
Lassa fever in London: environmental health aspects,"Fernandes, V.; Sim, F. M.; Kearns, W. E.; Lau, Y. K.",,1984,1984-May,Community medicine,6,2,140-4,MEDLINE:6734142,,,#972,Fernandes 1984,Exclusion reason: 5 no report of parameters ; ,""
Use of Complement-Fixation (Cf) Test in Lassa Fever Surveillance - Evidence for Persistent Cf Antibodies,"Fabiyi, A.; Tomori, O.",,1975,1975,Bulletin of the World Health Organization,52,4-6,605-608,WOS:A1975BZ39800028,,,#992,Fabiyi 1975,Exclusion reason: 1 duplicate; Natsuko Imai (2019-09-17 01:52:58)(Select): duplicate; ,Duplicate
Epidemiological significance of Lassa antibodies in Mastomys natalensis from several parts of Nigeria,"Fabiyi, A.; Dobrokhotov, B.; Tomori, O.; Arata, A. A.",,1979,1979,Nigerian Journal of Medical Sciences,1,1,45-47,CABI:19792252396,,,#994,Fabiyi 1979,Exclusion reason: 5 no report of parameters ; Natsuko Imai (2019-10-24 01:26:10)(Select): seroprevalence in rodents; Natsuko Imai (2019-10-24 01:25:39)(Select): paper copy; ,Seroprevalence in animals
