Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Emergence and adaptive evolution of Nipah virus.,Li K; Yan S; Wang N; He W; Guan H; He C; Wang Z; Lu M; Ye R; Veit M; Su S,"Since its first emergence in 1998 in Malaysia, Nipah virus (NiV) has become a great threat to domestic animals and humans. Sporadic outbreaks associated with human-to-human transmission caused hundreds of human fatalities. Here, we collected all available NiV sequences and combined phylogenetics, molecular selection, structural biology and receptor analysis to study the emergence and adaptive evolution of NiV. NiV can be divided into two main lineages including the Bangladesh and Malaysia lineages. We formly confirmed a significant association with geography which is probably the result of long-term evolution of NiV in local bat population. The two NiV lineages differ in many amino acids; one change in the fusion protein might be involved in its activation via binding to the G protein. We also identified adaptive and positively selected sites in many viral proteins. In the receptor-binding G protein, we found that sites 384, 386 and especially 498 of G protein might modulate receptor-binding affinity and thus contribute to the host jump from bats to humans via the adaption to bind the human ephrin-B2 receptor. We also found that site 1645 in the connector domain of L was positive selected and involved in adaptive evolution; this site might add methyl groups to the cap structure present at the 5'-end of the RNA and thus modulate its activity. This study provides insight to assist the design of early detection methods for NiV to assess its epidemic potential in humans.",2020,Jan,Transbound Emerg Dis,67,1,121-132,,10.1111/tbed.13330,31408582,#2760,Li 2020,Christian Morgenstern (2024-10-15 06:14:51)(Screen): has evolutionary rates; ,""
Global dynamics of a compartmental model for the spread of Nipah virus.,Barua S; Dénes A,"Nipah virus, which originated in South-East Asia is a bat-borne virus causing Nipah virus infection in humans. This emerging infectious disease has become one of the most alarming threats to public health due to its periodic outbreaks and extremely high mortality rate. We establish and study a novel SIRS model to describe the dynamics of Nipah virus transmission, considering human-to-human as well as zoonotic transmission from bats and pigs as well as loss of immunity. We determine the basic reproduction number which can be obtained as the maximum of three threshold parameters corresponding to various ways of disease transmission and determining in which of the three species the disease becomes endemic. By constructing appropriate Lyapunov functions, we completely describe the global dynamics of our model depending on these threshold parameters. Numerical simulations are shown to support our theoretical results and assess the effect of various intervention measures.",2023,Sep,Heliyon,9,9,e19682,,10.1016/j.heliyon.2023.e19682,37809375,#2768,Barua 2023,"Tristan Naidoo (2024-10-13 01:18:27)(Screen): Model
; ",""
Exact calculation of end-of-outbreak probabilities using contact tracing data.,Bradbury NV; Hart WS; Lovell-Read FA; Polonsky JA; Thompson RN,"A key challenge for public health policymakers is determining when an infectious disease outbreak has finished. Following a period without cases, an estimate of the probability that no further cases will occur in future (the end-of-outbreak probability) can be used to inform whether or not to declare an outbreak over. An existing quantitative approach (the Nishiura method), based on a branching process transmission model, allows the end-of-outbreak probability to be approximated from disease incidence time series, the offspring distribution and the serial interval distribution. Here, we show how the end-of-outbreak probability under the same transmission model can be calculated exactly if data describing who-infected-whom (the transmission tree) are also available (e.g. from contact tracing studies). In that scenario, our novel approach (the traced transmission method) is straightforward to use. We demonstrate this by applying the method to data from previous outbreaks of Ebola virus disease and Nipah virus infection. For both outbreaks, the traced transmission method would have determined that the outbreak was over earlier than the Nishiura method. This highlights that collection of contact tracing data and application of the traced transmission method may allow stringent control interventions to be relaxed quickly at the end of an outbreak, with only a limited risk of outbreak resurgence.",2023,Dec,J R Soc Interface,20,209,20230374,figshare/10.6084/m9.figshare. c.6960558,10.1098/rsif.2023.0374,38086402,#2800,Bradbury 2023,Christian Morgenstern (2024-10-27 05:02:04)(Select): estimates r and overdispersion parameter; ,""
Genetic diversity of Nipah virus in Bangladesh.,Rahman MZ; Islam MM; Hossain ME; Rahman MM; Islam A; Siddika A; Hossain MSS; Sultana S; Rahman M; Klena JD; Flora MS; Daszak P; Epstein JH; Luby SP; Gurley ES,"BACKGROUND: Nipah virus (NiV) infection, often fatal in humans, is primarily transmitted in Bangladesh through the consumption of date palm sap contaminated by Pteropus bats. Person-to-person transmission is also common and increases the concern of large outbreaks. This study aimed to characterize the molecular epidemiology, phylogenetic relationship, and the evolution of the nucleocapsid gene (N gene) of NiV. METHODS: We conducted molecular detection, genetic characterization, and Bayesian time-scale evolution analyses of NiV using pooled Pteropid bat roost urine samples from an outbreak area in 2012 and archived RNA samples from NiV case patients identified during 2012-2018 in Bangladesh. RESULTS: NiV-RNA was detected in 19% (38/456) of bat roost urine samples and among them; nine N gene sequences were recovered. We also retrieved sequences from 53% (21 out of 39) of archived RNA samples from patients. Phylogenetic analysis revealed that all Bangladeshi strains belonged to NiV-BD genotype and had an evolutionary rate of 4.64 × 10(-4) substitutions/site/year. The analyses suggested that the strains of NiV-BD genotype diverged during 1995 and formed two sublineages. CONCLUSION: This analysis provides further evidence that the NiV strains of the Malaysian and Bangladesh genotypes diverged recently and continue to evolve. More extensive surveillance of NiV in bats and human will be helpful to explore strain diversity and virulence potential to infect humans through direct or person-to-person virus transmission.",2021,Jan,Int J Infect Dis,102,,144-151,,10.1016/j.ijid.2020.10.041,33129964,#2803,Rahman 2021,Tristan Naidoo (2024-10-13 02:53:27)(Screen): evolutionary rate; ,""
Changing Contact Patterns Over Disease Progression: Nipah Virus as a Case Study.,Lee KH; Nikolay B; Sazzad HMS; Hossain MJ; Khan AKMD; Rahman M; Satter SM; Nichol ST; Klena JD; Pulliam JRC; Kilpatrick AM; Sultana S; Afroj S; Daszak P; Luby S; Cauchemez S; Salje H; Gurley ES,"Contact patterns play a key role in disease transmission, and variation in contacts during the course of illness can influence transmission, particularly when accompanied by changes in host infectiousness. We used surveys among 1642 contacts of 94 Nipah virus case patients in Bangladesh to determine how contact patterns (physical and with bodily fluids) changed as disease progressed in severity. The number of contacts increased with severity and, for case patients who died, peaked on the day of death. Given transmission has only been observed among fatal cases of Nipah virus infection, our findings suggest that changes in contact patterns during illness contribute to risk of infection.",2020,Jul,J Infect Dis,222,3,438-442,,10.1093/infdis/jiaa091,32115627,#2825,Lee 2020,"",""
"Nipah virus circulation at human-bat interfaces, Cambodia.",Cappelle J; Hoem T; Hul V; Furey N; Nguon K; Prigent S; Dupon L; Ken S; Neung C; Hok V; Pring L; Lim T; Bumrungsri S; Duboz R; Buchy P; Ly S; Duong V; Tarantola A; Binot A; Dussart P,"OBJECTIVE: To better understand the potential risks of Nipah virus emergence in Cambodia by studying different components of the interface between humans and bats. METHODS: From 2012 to 2016, we conducted a study at two sites in Kandal and Battambang provinces where fruit bats (Pteropus lylei) roost. We combined research on: bat ecology (reproductive phenology, population dynamics and diet); human practices and perceptions (ethnographic research and a knowledge, attitude and practice study); and Nipah virus circulation in bat and human populations (virus monitoring in bat urine and anti-Nipah-virus antibody detection in human serum). FINDINGS: Our results confirmed circulation of Nipah virus in fruit bats (28 of 3930 urine samples positive by polymerase chain reaction testing). We identified clear potential routes for virus transmission to humans through local practices, including fruit consumed by bats and harvested by humans when Nipah virus is circulating, and palm juice production. Nevertheless, in the serological survey of 418 potentially exposed people, none of them were seropositive to Nipah virus. Differences in agricultural practices among the regions where Nipah virus has emerged may explain the situation in Cambodia and point to actions to limit the risks of virus transmission to humans. CONCLUSION: Human practices are key to understanding transmission risks associated with emerging infectious diseases. Social science disciplines such as anthropology need to be integrated in health programmes targeting emerging infectious diseases. As bats are hosts of major zoonotic pathogens, such integrated studies would likely also help to reduce the risk of emergence of other bat-borne diseases.",2020,Aug,Bull World Health Organ,98,8,539-547,,10.2471/BLT.20.254227,32773899,#2844,Cappelle 2020,"",""
Sero-prevalence of Nipah antibodies among close contacts of the index case during 2019 Ernakulam outbreak.,Ramachandran R; Jose MS; Sahay RR; Shete A,"INTRODUCTION: Nipah virus (NiV) infection is a fatal emerging zoonotic disease. Infection with NiV has a wide range of clinical spectrum which can range from asymptomatic cases to acute respiratory distress syndrome (ARDS). The index case of NiV infection of 2019 outbreak in Ernakulam district was a 23-year-old male who presented with features of encephalitis. This study was undertaken to address the subclinical or asymptomatic NiV infection amongst the close contacts of this index case by using NiV-specific Immunoglobulin IgM and IgG antibodies. The index case was first treated in a primary care center. He survived the infection and was discharged after a period of 108 days from the tertiary care facility where he was treated eventually. METHODS: Serum samples from 49 close contacts of the index case were collected and tested for anti-NiVIgM and anti-NiVIgG antibodies. The contacts included health care workers including those from the primary care facility, family members, and his friends. RESULTS: Most common type of exposure included physical contact (59.2%), followed by exposure to body fluids (22.4%). CONCLUSION: None of the 49 contacts tested positive for anti-NiV human IgM and anti-NiVIgG antibodies. There were no subclinical cases amongst the close contacts of Nipah index case during the 2019 Kerala outbreak.",2022,Jun,J Family Med Prim Care,11,6,2479-2482,,10.4103/jfmpc.jfmpc_1731_21,36119301,#2848,Ramachandran 2022,"",""
Mapping Risk of Nipah Virus Transmission from Bats to Humans in Thailand.,Chaiyes A; Duengkae P; Suksavate W; Pongpattananurak N; Wacharapluesadee S; Olival KJ; Srikulnath K; Pattanakiat S; Hemachudha T,"Nipah virus (NiV) is a zoonotic virus that can pose a serious threat to human and livestock health. Old-world fruit bats (Pteropus spp.) are the natural reservoir hosts for NiV, and Pteropus lylei, Lyle's flying fox, is an important host of NiV in mainland Southeast Asia. NiV can be transmitted from bats to humans directly via bat-contaminated foods (i.e., date palm sap or fruit) or indirectly via livestock or other intermediate animal hosts. Here we construct risk maps for NiV spillover and transmission by combining ecological niche models for the P. lylei bat reservoir with other spatial data related to direct or indirect NiV transmission (livestock density, foodborne sources including fruit production, and human population). We predict the current and future (2050 and 2070) distribution of P. lylei across Thailand, Cambodia, and Vietnam. Our best-fit model predicted that central and western regions of Thailand and small areas in Cambodia are currently the most suitable habitats for P. lylei. However, due to climate change, the species range is predicted to expand to include lower northern, northeastern, eastern, and upper southern Thailand and almost all of Cambodia and lower southern Vietnam. This expansion will create additional risk areas for human infection from P. lylei in Thailand. Our combined predictive risk maps showed that central Thailand, inhabited by 2.3 million people, is considered highly suitable for the zoonotic transmission of NiV from P. lylei. These current and future NiV transmission risk maps can be used to prioritize sites for active virus surveillance and developing awareness and prevention programs to reduce the risk of NiV spillover and spread in Thailand.",2022,Jun,Ecohealth,19,2,175-189,,10.1007/s10393-022-01588-6,35657574,#2850,Chaiyes 2022,"Christian Morgenstern (2024-10-27 22:37:07)(Select): Capture risk factor as in figure ; Tristan Naidoo (2024-10-13 02:52:35)(Screen): Note for PRESTO
; ",""
"Outbreak Investigation of Nipah Virus Disease in Kerala, India, 2018.",Arunkumar G; Chandni R; Mourya DT; Singh SK; Sadanandan R; Sudan P; Bhargava B,"BACKGROUND: Nipah Virus (NiV) is a highly fatal emerging zoonotic virus and a potential threat to global health security. Here we describe the characteristics of the NiV outbreak that occurred in Kerala, India, during May-June 2018. METHODS: We used real-time reverse transcription polymerase chain reaction analysis of throat swab, blood, urine, and cerebrospinal fluid specimens to detect NiV. Further, the viral genome was sequenced and subjected to phylogenetic analysis. We conducted an epidemiologic investigation to describe the outbreak and elucidate the dynamics of NiV transmission. RESULTS: During 2-29 May 2018, 23 cases were identified, including the index case; 18 were laboratory confirmed. The lineage of the NiV responsible for this outbreak was closer to the Bangladesh lineage. The median age of cases was 45 years; the sex of 15 (65%) was male. The median incubation period was 9.5 days (range, 6-14 days). Of the 23 cases, 20 (87%) had respiratory symptoms. The case-fatality rate was 91%; 2 cases survived. Risk factors for infection included close proximity (ie, touching, feeding, or nursing a NiV-infected person), enabling exposure to droplet infection. The public health response included isolation of cases, contact tracing, and enforcement of hospital infection control practices. CONCLUSION: This is the first recorded NiV outbreak in South India. Early laboratory confirmation and an immediate public health response contained the outbreak.",2019,May,J Infect Dis,219,12,1867-1878,,10.1093/infdis/jiy612,30364984,#2886,Arunkumar 2019,"",""
Seroprevalence of Nipah Virus Infection in Peninsular Malaysia.,Yong MY; Lee SC; Ngui R; Lim YA; Phipps ME; Chang LY,"Nipah virus (NiV) outbreak occurred in Malaysia in 1998. The natural host reservoir for NiV is Pteropus bats, which are commonly found throughout Malaysia. Humans become infected when NiV spills over from the reservoir species. In this study, NiV serosurveillance in Peninsular Malaysia, particularly among the indigenous population, was performed. The collected samples were tested for presence of NiV antibodies using a comparative indirect enzyme-linked immunosorbent assay based on the recombinant NiV nucleocapsid (rNiV-N) protein. We found that 10.73% of the participants recruited in this study had antibodies against rNiV-N, suggesting possible exposure to NiV.",2020,May,J Infect Dis,221,Suppl 4,S370-S374,,10.1093/infdis/jiaa085,32392323,#2892,Yong 2020,"",""
Global dynamics of a compartmental model to assess the effect of transmission from deceased.,Barua S; Dénes A,"During several epidemics, transmission from deceased people significantly contributed to disease spread, but mathematical analysis of this transmission has not been seen in the literature numerously. Transmission of Ebola during traditional burials was the most well-known example; however, there are several other diseases, such as hepatitis, plague or Nipah virus, that can potentially be transmitted from disease victims. This is especially true in the case of serious epidemics when healthcare is overwhelmed and the operative capacity of the health sector is diminished, such as seen during the COVID-19 pandemic. We present a compartmental model for the spread of a disease with an imperfect vaccine available, also considering transmission from deceased infected in general. The global dynamics of the system are completely described by constructing appropriate Lyapunov functions. To support our analytical results, we perform numerical simulations to assess the importance of transmission from the deceased, considering the data collected from three infectious diseases, Ebola virus disease, COVID-19, and Nipah fever.",2023,Oct,Math Biosci,364,,109059,,10.1016/j.mbs.2023.109059,37619887,#2906,Barua 2023,"",""
Breakdown of a Nonlinear Stochastic Nipah Virus Epidemic Models through Efficient Numerical Methods.,Raza A; Awrejcewicz J; Rafiq M; Mohsin M,"Background: Nipah virus (NiV) is a zoonotic virus (transmitted from animals to humans), which can also be transmitted through contaminated food or directly between people. According to a World Health Organization (WHO) report, the transmission of Nipah virus infection varies from animals to humans or humans to humans. The case fatality rate is estimated at 40% to 75%. The most infected regions include Cambodia, Ghana, Indonesia, Madagascar, the Philippines, and Thailand. The Nipah virus model is categorized into four parts: susceptible (S), exposed (E), infected (I), and recovered (R). Methods: The structural properties such as dynamical consistency, positivity, and boundedness are the considerable requirements of models in these fields. However, existing numerical methods like Euler-Maruyama and Stochastic Runge-Kutta fail to explain the main features of the biological problems. Results: The proposed stochastic non-standard finite difference (NSFD) employs standard and non-standard approaches in the numerical solution of the model, with positivity and boundedness as the characteristic determinants for efficiency and low-cost approximations. While the results from the existing standard stochastic methods converge conditionally or diverge in the long run, the solution by the stochastic NSFD method is stable and convergent over all time steps. Conclusions: The stochastic NSFD is an efficient, cost-effective method that accommodates all the desired feasible properties.",2021,Nov,Entropy (Basel),23,12,,,10.3390/e23121588,34945894,#2916,Raza 2021,"",""
Transmission of Nipah Virus - 14 Years of Investigations in Bangladesh.,Nikolay B; Salje H; Hossain MJ; Khan AKMD; Sazzad HMS; Rahman M; Daszak P; Ströher U; Pulliam JRC; Kilpatrick AM; Nichol ST; Klena JD; Sultana S; Afroj S; Luby SP; Cauchemez S; Gurley ES,"BACKGROUND: Nipah virus is a highly virulent zoonotic pathogen that can be transmitted between humans. Understanding the dynamics of person-to-person transmission is key to designing effective interventions. METHODS: We used data from all Nipah virus cases identified during outbreak investigations in Bangladesh from April 2001 through April 2014 to investigate case-patient characteristics associated with onward transmission and factors associated with the risk of infection among patient contacts. RESULTS: Of 248 Nipah virus cases identified, 82 were caused by person-to-person transmission, corresponding to a reproduction number (i.e., the average number of secondary cases per case patient) of 0.33 (95% confidence interval [CI], 0.19 to 0.59). The predicted reproduction number increased with the case patient's age and was highest among patients 45 years of age or older who had difficulty breathing (1.1; 95% CI, 0.4 to 3.2). Case patients who did not have difficulty breathing infected 0.05 times as many contacts (95% CI, 0.01 to 0.3) as other case patients did. Serologic testing of 1863 asymptomatic contacts revealed no infections. Spouses of case patients were more often infected (8 of 56 [14%]) than other close family members (7 of 547 [1.3%]) or other contacts (18 of 1996 [0.9%]). The risk of infection increased with increased duration of exposure of the contacts (adjusted odds ratio for exposure of >48 hours vs. ≤1 hour, 13; 95% CI, 2.6 to 62) and with exposure to body fluids (adjusted odds ratio, 4.3; 95% CI, 1.6 to 11). CONCLUSIONS: Increasing age and respiratory symptoms were indicators of infectivity of Nipah virus. Interventions to control person-to-person transmission should aim to reduce exposure to body fluids. (Funded by the National Institutes of Health and others.).",2019,May,N Engl J Med,380,19,1804-1814,,10.1056/NEJMoa1805376,31067370,#2931,Nikolay 2019,"",""
Two decades of one health surveillance of Nipah virus in Thailand.,Wacharapluesadee S; Ghai S; Duengkae P; Manee-Orn P; Thanapongtharm W; Saraya AW; Yingsakmongkon S; Joyjinda Y; Suradhat S; Ampoot W; Nuansrichay B; Kaewpom T; Tantilertcharoen R; Rodpan A; Wongsathapornchai K; Ponpinit T; Buathong R; Bunprakob S; Damrongwatanapokin S; Ruchiseesarod C; Petcharat S; Kalpravidh W; Olival KJ; Stokes MM; Hemachudha T,"BACKGROUND: Nipah virus (NiV) infection causes encephalitis and has > 75% mortality rate, making it a WHO priority pathogen due to its pandemic potential. There have been NiV outbreak(s) in Malaysia, India, Bangladesh, and southern Philippines. NiV naturally circulates among fruit bats of the genus Pteropus and has been detected widely across Southeast and South Asia. Both Malaysian and Bangladeshi NiV strains have been found in fruit bats in Thailand. This study summarizes 20 years of pre-emptive One Health surveillance of NiV in Thailand, including triangulated surveillance of bats, and humans and pigs in the vicinity of roosts inhabited by NiV-infected bats. METHODS: Samples were collected periodically and tested for NiV from bats, pigs and healthy human volunteers from Wat Luang village, Chonburi province, home to the biggest P. lylei roosts in Thailand, and other provinces since 2001. Archived cerebrospinal fluid specimens from encephalitis patients between 2001 and 2012 were also tested for NiV. NiV RNA was detected using nested reverse transcription polymerase chain reaction (RT-PCR). NiV antibodies were detected using enzyme-linked immunosorbent assay or multiplex microsphere immunoassay. RESULTS: NiV RNA (mainly Bangladesh strain) was detected every year in fruit bats by RT-PCR from 2002 to 2020. The whole genome sequence of NiV directly sequenced from bat urine in 2017 shared 99.17% identity to NiV from a Bangladeshi patient in 2004. No NiV-specific IgG antibodies or RNA have been found in healthy volunteers, encephalitis patients, or pigs to date. During the sample collection trips, 100 community members were trained on how to live safely with bats. CONCLUSIONS: High identity shared between the NiV genome from Thai bats and the Bangladeshi patient highlights the outbreak potential of NiV in Thailand. Results from NiV cross-sectoral surveillance were conveyed to national authorities and villagers which led to preventive control measures, increased surveillance of pigs and humans in vicinity of known NiV-infected roosts, and increased vigilance and reduced risk behaviors at the community level. This proactive One Health approach to NiV surveillance is a success story; that increased collaboration between the human, animal, and wildlife sectors is imperative to staying ahead of a zoonotic disease outbreak.",2021,Jul,One Health Outlook,3,1,12,,10.1186/s42522-021-00044-9,34218820,#2954,Wacharapluesadee 2021,"",""
"Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018.",Yadav PD; Shete AM; Kumar GA; Sarkale P; Sahay RR; Radhakrishnan C; Lakra R; Pardeshi P; Gupta N; Gangakhedkar RR; Rajendran VR; Sadanandan R; Mourya DT,"We retrieved Nipah virus (NiV) sequences from 4 human and 3 fruit bat (Pteropus medius) samples from a 2018 outbreak in Kerala, India. Phylogenetic analysis demonstrated that NiV from humans was 96.15% similar to a Bangladesh strain but 99.7%-100% similar to virus from Pteropus spp. bats, indicating bats were the source of the outbreak.",2019,May,Emerg Infect Dis,25,5,1003-1006,,10.3201/eid2505.181076,31002049,#2966,Yadav 2019,Tristan Naidoo (2025-02-18 02:48:09)(Select): Table 1 has sero results; ,""
"Dissecting an Outbreak: A Clinico-epidemiological Study of Nipah Virus Infection in Kerala, India, 2018.",Pallivalappil B; Ali A; Thulaseedharan NK; Karadan U; Chellenton J; Dipu KP; Anoop Kumar AS; Sajeeth Kumar KG; Rajagopal TP; Suraj KP; Santosh Kumar GR; Supreeth RN; Yelisetti M; Muthyala PR; Aryasree KS; Apurva Rao KS,"BACKGROUND: An outbreak of Nipah virus infection was confirmed in Kerala, India in May 2018. Five out of 23 cases including the first laboratory-confirmed case were treated at Baby Memorial Hospital (BMH), Kozhikode. The study describes the clinical characteristics and epidemiology of the Nipah virus outbreak at Kozhikode during May 2018. OBJECTIVE: To study the clinical and epidemiological profile of Nipah virus epidemic that occurred in Kerala in May 2018. METHODS: A collaborative team of physicians and epidemiologists from BMH, Medical College Hospital (MCH) Kozhikode and from the Indian Medical Association (IMA) conducted this study. The clinical and exposure history and the data on outbreak response were gathered from hospital medical records and through interviewing patient relatives and health workers using questionnaires. RESULTS: It was identified that out of the 23 patients with Nipah virus infection, 21 (91.3%) expired. Out of the 21 patients, 18 tested positive for Nipah virus by Real Time polymerase chain reaction (RT-PCR). It has been found that only the index case was infected in the community from fruit bats. Rest of the cases were due to transmission of the virus at three public hospitals. Median age was 45 years. 65% of them were males. Median incubation period was 9.5 days. Fever (100%), altered sensorium (84.2%), tachycardia (63.1%), hypertension (36.8%), segmental myoclonus (15.7%), segmental sweating (15.7%) and shortness of breath (73.6%) were common features. Mean duration of illness was 6.4 days. CONCLUSION: The rapid spread of infection uncovered the miserable state of health care system in implementing infection control measures. The case fatality and the socio-economic burden warrant developing appropriate treatments, vaccines and diagnostics.",2020,Jan-Mar,J Glob Infect Dis,12,1,21-27,,10.4103/jgid.jgid_4_19,32165798,#2979,Pallivalappil 2020,"",""
"Clinico-epidemiological presentations and management of Nipah virus infection during the outbreak in Kozhikode district, Kerala state, India 2023.",As AK; Sahay RR; Radhakrishnan C; P S; Kandath S; Patil DY; Shete AM; M S; Ramakrishnan G; Moorkoth AP; Gupta N; Yadav PD; Godbole S; Ramakrishnan LV; Vadekkandiyil S; Ekkalayil D; V N; Balakrishnan A; Pullor NK; Asokan N; Joseph RK; Nair PR; Purayil SM; Mathew T; Kizhakkekandiyil R; Poovullathil JK; Ps KS; Pt U; George K; Rahim A; Kumar S; S S; Mohandas S; Rajan LS; Ramachandran SP; Thampi SP; Ashadevi; Anish TS; Chandran P; Mohan A; Vadakkayil B; Koroth SC; Hafeez N; Sasi RR; Abraham M,"India experienced its sixth Nipah virus (NiV) outbreak in September 2023 in the Kozhikode district of Kerala state. The NiV is primarily transmitted by spillover events from infected bats followed by human-to-human transmission. The clinical specimens were screened using real-time RT-PCR, and positive specimens were further characterized using next-generation sequencing. We describe here an in-depth clinical presentation and management of NiV-confirmed cases and outbreak containment activities. The current outbreak reported a total of six cases with two deaths, with a case fatality ratio of 33.33%. The cases had a mixed presentation of acute respiratory distress syndrome and encephalitis syndrome. Fever was a persistent presentation in all the cases. The Nipah viral RNA was detected in clinical specimens until the post-onset day of illness (POD) 14, with viral load in the range of 1.7-3.3 × 10(4) viral RNA copies/mL. The genomic analysis showed that the sequences from the current outbreak clustered into the Indian clade similar to the 2018 and 2019 outbreaks. This study highlights the vigilance of the health system to detect and effectively manage the clustering of cases with clinical presentations similar to NiV, which led to early detection and containment activities.",2024,Mar,J Med Virol,96,3,e29559,,10.1002/jmv.29559,38529536,#2983,As 2024,"",""
"Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic.",Yadav PD; Sahay RR; Balakrishnan A; Mohandas S; Radhakrishnan C; Gokhale MD; Balasubramanian R; Abraham P; Gupta N; Sugunan AP; Khobragade R; George K; Shete A; Patil S; Thankappan UP; Dighe H; Koshy J; Vijay V; Gayathri R; Kumar PJ; Rahim A; Naveen A; Nair S; Rajendran VR; Jayasree V; Majumdar T; Jain R; Viswanathan P; Patil DY; Kumar A; Nyayanit DA; Sarkale P; Waghmare A; Baradkar S; Gawande P; Bodke P; Kalele K; Yemul J; Dhaigude S; Holepannawar M; Gopale S; Chopade G; Ray S; Waghmare P; Narayan J; Mathapati B; Kadam M; Suryawanshi A; Jose BP; Sivadas S; Akash NP; Vimisha TV; Keerthi KV,"We report here a Nipah virus (NiV) outbreak in Kozhikode district of Kerala state, India, which had caused fatal encephalitis in a 12-year-old boy and the outbreak response, which led to the successful containment of the disease and the related investigations. Quantitative real-time reverse transcription (RT)-PCR, ELISA-based antibody detection, and whole genome sequencing (WGS) were performed to confirm the NiV infection. Contacts of the index case were traced and isolated based on risk categorization. Bats from the areas near the epicenter of the outbreak were sampled for throat swabs, rectal swabs, and blood samples for NiV screening by real-time RT-PCR and anti-NiV bat immunoglobulin G (IgG) ELISA. A plaque reduction neutralization test was performed for the detection of neutralizing antibodies. Nipah viral RNA could be detected from blood, bronchial wash, endotracheal (ET) secretion, and cerebrospinal fluid (CSF) and anti-NiV immunoglobulin M (IgM) antibodies from the serum sample of the index case. Rapid establishment of an onsite NiV diagnostic facility and contact tracing helped in quick containment of the outbreak. NiV sequences retrieved from the clinical specimen of the index case formed a sub-cluster with the earlier reported Nipah I genotype sequences from India with more than 95% similarity. Anti-NiV IgG positivity could be detected in 21% of Pteropus medius (P. medius) and 37.73% of Rousettus leschenaultia (R. leschenaultia). Neutralizing antibodies against NiV could be detected in P. medius. Stringent surveillance and awareness campaigns need to be implemented in the area to reduce human-bat interactions and minimize spillover events, which can lead to sporadic outbreaks of NiV.",2022,,Front Public Health,10,,818545,,10.3389/fpubh.2022.818545,35252095,#2984,Yadav 2022,"",""
Climate Anomalies and Spillover of Bat-Borne Viral Diseases in the Asia-Pacific Region and the Arabian Peninsula.,Latinne A; Morand S,"Climate variability and anomalies are known drivers of the emergence and outbreaks of infectious diseases. In this study, we investigated the potential association between climate factors and anomalies, including El Niño Southern Oscillation (ENSO) and land surface temperature anomalies, as well as the emergence and spillover events of bat-borne viral diseases in humans and livestock in the Asia-Pacific region and the Arabian Peninsula. Our findings from time series analyses, logistic regression models, and structural equation modelling revealed that the spillover patterns of the Nipah virus in Bangladesh and the Hendra virus in Australia were differently impacted by climate variability and with different time lags. We also used event coincidence analysis to show that the emergence events of most bat-borne viral diseases in the Asia-Pacific region and the Arabian Peninsula were statistically associated with ENSO climate anomalies. Spillover patterns of the Nipah virus in Bangladesh and the Hendra virus in Australia were also significantly associated with these events, although the pattern and co-influence of other climate factors differed. Our results suggest that climate factors and anomalies may create opportunities for virus spillover from bats to livestock and humans. Ongoing climate change and the future intensification of El Niño events will therefore potentially increase the emergence and spillover of bat-borne viral diseases in the Asia-Pacific region and the Arabian Peninsula.",2022,May,Viruses,14,5,,,10.3390/v14051100,35632842,#2991,Latinne 2022,Christian Morgenstern (2024-10-14 07:14:46)(Screen): risk factor???; ,""
Optimal control analysis for the Nipah infection with constant and time-varying vaccination and treatment under real data application.,Khan MY; Ullah S; Farooq M; Al Alwan B; Saqib AB,"In the last two decades, Nipah virus (NiV) has emerged as a significant paramyxovirus transmitted by bats, causing severe respiratory illness and encephalitis in humans. NiV has been included in the World Health Organization's Blueprint list of priority pathogens due its potential for human-to-human transmission and zoonotic characteristics. In this paper, a mathematical model is formulated to analyze the dynamics and optimal control of NiV. In formulation of the model we consider two modes of transmission: human-to-human and food-borne. Further, the impact of contact with an infected corpse as a potential route for virus transmission is also consider in the model. The analysis identifies the model with constant controls has three equilibrium states: the NiV-free equilibrium, the infected flying foxes-free equilibrium, and the NiV-endemic equilibrium state. Furthermore, a theoretical analysis is conducted to presents the stability of the model equilibria. The model fitting to the reported cases in Bangladesh from 2001 to 2015, and the estimation of parameters are performed using the standard least squares technique. Sensitivity analysis of the model-embedded parameters is provided to set the optimal time-dependent controls for the disease eradication. The necessary optimality conditions are derived using Pontryagin's maximum principle. Finally, numerical simulation is performed to determine the most effective strategy for disease eradication and to confirm the theoretical results.",2024,Jul,Sci Rep,14,1,17532,,10.1038/s41598-024-68091-6,39080433,#3017,Khan 2024,"",""
"Infections among Contacts of Patients with Nipah Virus, India.",Kumar CPG; Sugunan AP; Yadav P; Kurup KK; Aarathee R; Manickam P; Bhatnagar T; Radhakrishnan C; Thomas B; Kumar A 5th; Jayasree J; Philomina B; Kumar KGS; Thulaseedharan NK; Gupta N 5th; Rajendran R; Saritha RL; Mourya DT; Gangakhedkar RR; Murhekar MV,"We conducted a serosurvey of 155 healthcare workers and 124 household and community members who had close contact with 18 patients who had laboratory-confirmed Nipah virus infections in Kerala, India. We detected 3 subclinical infections; 2 persons had IgM and IgG and 1 only IgM against Nipah virus.",2019,May,Emerg Infect Dis,25,5,1007-1010,,10.3201/eid2505.181352,31002050,#3025,KumarCPG 2019,"",""
