Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prevention of Lassa fever in Nigeria,"Inegbenebor, Ute; Okosun, John; Inegbenebor, Josephine","Although specific treatment is available for Lassa fever, early diagnosis is still difficult in most Nigerian primary and secondary health centers. This study was carried out to compare the case-fatality, rates of Lassa fever and other medical diseases commonly seen in adult medical wards, to determine the Community habits that make Lassa fever endemic in Edo Central District of Nigeria, with the aim of prescribing preventive measures for its control in Nigeria. The records of 908 inpatients in the adult medical wards of Irrua Specialist Teaching Hospital, Irrua and responses from respondents interviewed by trained interviewers on their knowledge, attitudes and practices pertaining to Lassa fever were used for this study. The case-fatality rate of Lassa fever in this center was 28%. Cultural factors and habits were found to favor endemicity of Lassa fever in Edo Central District of Nigeria. Preventive measures were prescribed for families and communities. (c) 2009 Royal Society of Tropical Medicine and Hygiene. Published by Elsevier Ltd. All rights reserved.",2010,Jan,Transactions of the Royal Society of Tropical Medicine and Hygiene,104,1,51-54,WOS:000273194900011,,,#1181,Inegbenebor 2010,"",""
"Increase in Lassa Fever Cases in Nigeria, January-March 2018","Ilori, Elsie A.; Frank, Christina; Dan-Nwafor, Chioma C.; Ipadeola, Oladipupo; Krings, Amrei; Ukponu, Winifred; Womi-Eteng, Oboma E.; Adeyemo, Ayodele; Mutbam, Samuel K.; Musa, Emmanuel O.; Lasuba, Clement L. P.; Alemu, Wondimagegnehu; Okogbenin, Sylvanus; Ogbaini, Ephraim; Unigwe, Uche; Ogah, Emeka; Onoh, Robinson; Abejegah, Chukwuyem; Ayodeji, Olufemi; Ihekweazu, Chikwe","We reviewed data pertaining to the massive wave of Lassa fever cases that occurred in Nigeria in 2018. No new virus strains were detected, but in 2018, the outbreak response was intensified, additional diagnostic support was available, and surveillance sensitivity increased. These factors probably contributed to the high case count.",2019,2019-May-17,Emerging Infectious Diseases,25,5,,MEDLINE:30807268,,,#1183,Ilori 2019,"",""
Early-onset sensorineural hearing loss in Lassa fever,"Ibekwe, T. S.; Okokhere, P. O.; Asogun, D.; Blackie, F. F.; Nwegbu, M. M.; Wahab, K. W.; Omilabu, S. A.; Akpede, G. O.","Lassa fever (LF) is a viral hemorrhagic disease which affects one-fourth to two million people annually with the fatality rate of about 10,000. It is associated with sensorineural hearing loss (SNHL) usually at the convalescent stage. Recently, cases of SNHL at the acute phase have been reported. This study was done to further investigate the incidence and features of SNHL in acute phase of LF. It is a prospective case-control study of LF patients seen with acute SNHL conducted between July 2007 and April 2009 at Irrua Specialist Teaching Hospital Nigeria. The diagnosis of acute LF was based on the clinical features and detection of IgM antibodies and/or positive Lassa virus-specific reverse transcriptase-polymerase chain reaction using primers S36+ and LVS 339 while SNHL was diagnosed clinically and confirmed with PTA and speech discrimination tests. Patients with other acute febrile illnesses were used as control. Statistical analysis was done using SPSS version 11 and Fisher's exact test while level of significance was set at p < 0.05. Out of the 37 confirmed cases of LF, 5 (13.5%) and none (0%) of the control developed early-onset SNHL (p = 0.03). Forty percent of the cases studied had negative IgM. The audiograms showed involvement at all frequency groups with pure tone average 65-85 dB and the speech discrimination 20-40%. The overall case fatality rate was 27.0%, and for early SNHL cases 60.0% (p > 0.05). The incidence of SNHL in LF infection is about 13.5% and could be a reflection of a worse disease process. There is possibility of direct viral invasion aside immunological reaction as a causative mechanism.",2011,Feb,European Archives of Oto-Rhino-Laryngology,268,2,197-201,WOS:000286205900005,,,#1192,Ibekwe 2011,"",""
Lassa Fever - Virological and Serological Studies,"Henderson, B. E.; Kissling, R. E.; Frame, J. D.; Carey, D. E.; Gary, G. W.",,1972,1972,Transactions of the Royal Society of Tropical Medicine and Hygiene,66,3,409-+,WOS:A1972M935400004,,,#1234,Henderson 1972,Natsuko Imai (2019-03-28 21:11:02)(Screen): Lassa virus was isolated from specimens collected from 12 of the 13 patients involved in an epidemic of Lassa Fever which occurred in Jos during 1970. Sero-epidemiological studies indicate that Lassa virus infection occurs over a wide area of western Africa extending at least from Guinea to Nigeria; ,""
No Evidence for Increased Risk of Lassa Fever Infection in Hospital Staff,"Helmick, C. G.; Scribner, C. L.; Webb, P. A.; Krebs, J. W.; McCormick, J. B.",,1986,Nov 22,Lancet,2,8517,1202-1205,WOS:A1986E905800014,,,#1235,Helmick 1986,"Natsuko Imai (2019-10-23 23:34:21)(Select): seroprevalence in general pop vs at risk hospital staff; Natsuko Imai (2019-10-23 23:33:12)(Select): paper copy; Natsuko Imai (2019-03-28 21:10:30)(Screen): A prospective serological study was undertaken in hospital personnel who care for Lassa fever (LF) patients in an endemic region of Sierra Leone, West Africa. Among personnel from three hospitals where barrier nursing is practised, antibody prevalence and seroconversion by age and sex were consistently equal to or lower than those of persons in nearby village populations. No group among hospital personnel evaluated by age, sex, contact, or occupational exposure was at higher risk than another. Hospital staff in Sierra Leone who care for LF patients using simple barrier nursing methods have no higher risk of infection than the local population. These findings support the proposal that patients with LF in non-endemic countries need not be confined to isolators.; ",""
The challenges of detecting and responding to a Lassa fever outbreak in an Ebola-affected setting,"Hamblion, E. L.; Raftery, P.; Wendland, A.; Dweh, E.; Williams, G. S.; George, R. N. C.; Soro, L.; Katawera, V.; Clement, P.; Gasasira, A. N.; Musa, E.; Nagbe, T. K.","Objectives: Lassa fever (LF), a priority emerging pathogen likely to cause major epidemics, is endemic in much of West Africa and is difficult to distinguish from other viral hemorrhagic fevers, including Ebola virus disease (EVD). Definitive diagnosis requires laboratory confirmation, which is not widely available in affected settings. The public health action to contain a LF outbreak and the challenges encountered in an EVD-affected setting are reported herein. Methods: In February 2016, a rapid response team was deployed in Liberia in response to a cluster of LF cases. Active case finding, case investigation, contact tracing, laboratory testing, environmental investigation, risk communication, and community awareness raising were undertaken. Results: From January to June 2016, 53 suspected LF cases were reported through the Integrated Disease Surveillance and Response system (IDSR). Fourteen cases (26%) were confirmed for LF, 14 (26%) did not have a sample tested, and 25 (47%) were classified as not a case following laboratory analysis. The case fatality rate in the confirmed cases was 29%. One case of international exportation was reported from Sweden. Difficulties were identified in timely specimen collection, packaging, and transportation (in confirmed cases, the time from sample collection to sample result ranged from 2 to 64 days) and a lack of response interventions for early cases. Conclusions: The delay in response to this outbreak could have been related to a number of challenges in this EVD-affected setting: a need to strengthen the IDSR system, develop preparedness plans, train rapid response teams, and build laboratory capacity. Prioritizing these actions will aid in the timely response to future outbreaks. (C) 2017 The Authors. Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.",2018,Jan,International Journal of Infectious Diseases,66,,65-73,WOS:000418819400011,,,#1254,Hamblion 2018,"",""
"Development and validation of serological assays for viral hemorrhagic fevers and determination of the prevalence of Rift Valley fever in Borno State, Nigeria","Bukbuk, David Nadeba; Fukushi, Shuetsu; Tani, Hideki; Yoshikawa, Tomoki; Taniguchi, Satoshi; Iha, Koichiro; Fukuma, Aiko; Shimojima, Masayuki; Morikawa, Shigeru; Saijo, Masayuki; Kasolo, Francis; Baba, Saka Saheed","Background: Rift Valley fever (RVF) is endemic to the tropical regions of eastern and southern Africa. The seroprevalence of RVF was investigated among the human population in Borno State, Nigeria to determine the occurrence of the disease in the study area in comparison with that of Lassa fever and Crimean-Congo Hemorrhagic fever. Methods: Recombinant nucleoprotein (rNP)-based IgG-ELISAs for the detection of serum antibodies against RVF virus (RVFV), Lassa fever virus (LASV), and Crimean-Congo hemorrhagic fever virus (CCHFV) were used to test human sera in Borno State, Nigeria. The presence of neutralizing antibody against the RVFV-glycoprotein-bearing vesicular stomatitis virus pseudotype (RVFVpv) was also determined in the human sera. Results: Of the 297 serum samples tested, 42 (14.1%) were positive for the presence of RVFV-IgG and 22 (7.4%) and 7 (2.4%) of the serum samples were positive for antibodies against LASV and CCHFV, respectively. There was a positive correlation between the titers of neutralizing antibodies obtained using RVFVpv and those obtained using the conventional neutralization assay with the attenuated RVFV-MP12 strain. Conclusions: The seroprevalence of RVF was significantly higher than that of LASV and CCHF in Borno State, Nigeria. The RVFVpv-based neutralization assay developed in this study has the potential to replace the traditional assays based on live viruses for the diagnosis and seroepidemiological studies of RVF.",2014,Dec,Transactions of the Royal Society of Tropical Medicine and Hygiene,108,12,768-773,WOS:000345345500005,,,#1266,Bukbuk 2014,"",""
Mortaliy Among Confirmed Lassa Fever Cases During the 2015-2016 Outbreak in Nigeria,"Buba, Maryam Ibrahim; Dalhat, Mahmood Muazu; Nguku, Patrick Mboya; Waziri, Ndadilnasiya; Mohammad, Jibreel Omar; Bomoi, Idriss Mohammed; Onyiah, Amaka Pamela; Onwujei, Jude; Balogun, Muhammad Shakir; Bashorun, Adebobola Toluwalashe; Nsubuga, Peter; Nasidi, Abdulsalami","Objectives. To determine factors associated with mortality among confirmed Lassa fever cases. Methods. We reviewed line lists and clinical records of laboratory-confirmed cases of Lassa fever during the 2016 outbreak in Nigeria to determine factors associated with mortality. We activated an incident command system to coordinate response. Results. We documented 47 cases, 28 of whom died (case Fatality rate [CFR] = 59.6%; mean age 31.4 years; SD = +/- 18.1 years). The youngest and the oldest were the most likely to die, with 100% mortality in those aged 5 years or younger and those aged 55 years or older. Patients who commenced ribavirin were more likely to survive (odds ratio [OR] = 01; 95% confidence interval [CI] = 0.03, 0.50). Fatality rates went From 100% (wave 1) through 69% (wave 2) to 31% (wave 3; chi(2) For linear trend: P<.01). Patients admitted to a hearth care center before incident command system activation were more likely to die (OR =4.4; 95% CI =1.1, 17.6). The only pregnant patient in the study died postpartum. Conclusions. Effective, coordinated response reduces mortality from public health events. Attention to vulnerable groups during disasters is essential. public Health Implications. Activating an incident command system improves the outcome of disasters in resource-constrained settings.",2018,Feb,American Journal of Public Health,108,2,262-264,WOS:000439715700039,,,#1272,Buba 2018,"",""
"Lassa Fever in Onitsha, East Central State, Nigeria, in 1974","Bowen, G. S.; Tomori, O.; Wulff, H.; Casals, J.; Noonan, A.; Downs, W. G.",,1975,1975,Bulletin of the World Health Organization,52,4-6,599-604,WOS:A1975BZ39800027,,,#1310,Bowen 1975,"Natsuko Imai (2019-03-27 21:25:11)(Screen): https://www.ncbi.nlm.nih.gov/pubmed/1085214

Three cases of Lassa fever occurred in Onitsha, East Central State, Nigeria, in January and February 1974. The first case was a 19-year-old Nigerian; the other 2 cases were German missionary physicians at St Charles Borromeo Hospital, Onitsha, one of whom cared for the patient who was the first case. Thus, 2 of the 3 cases were hospital acquired. Investigations failed to discover a village outbreak or the source of virus for the first case. A serosurvey of 258 hospital staff members and contacts of the 3 cases showed no other persons with antibody to Lassa virus. The absence of Lassa virus antibody in a high-risk group indicates a low or nonexistent level of past Lassa virus activity in southeastern Nigeria.; ",""
Poor housing quality increases risk of rodent infestation and Lassa fever in refugee camps of Sierra Leone,"Bonner, Phillip Cullison; Schmidt, Wolf-Peter; Belmain, Steven R.; Oshin, Babafemi; Baglole, Debbie; Borchert, Matthias","Lassa fever, a viral hemorrhagic fever endemic in parts of West Africa, is a severe febrile illness transmitted to humans by the rodent Mastomys natalensis. To determine risk of Lassa fever in households in Sierra Leonean refugee camps, we analyzed the spatial relationships between households with a Lassa case and focal locations of potential rodent habitats. Quality and hygiene factors of households were assessed to determine possible risk factors for household rodent infestation and occurrence of Lassa fever. The odds to have a rat burrow were higher in case houses than in control houses (OR 24, 95% CI 6.0-93). Case houses scored significantly worse in the quality of housing and external hygiene. These findings suggest that risk of Lassa fever in refugee camps depends on individual housing quality and the hygiene of the immediate surrounding environment.",2007,Jul,American Journal of Tropical Medicine and Hygiene,77,1,169-175,WOS:000247979800029,,,#1328,Bonner 2007,"",""
Serological Survey of Lassa Fever in Liberia,"Bloch, A.",,1978,1978,Bulletin of the World Health Organization,56,5,811-813,WOS:A1978FY20500022,,,#1343,Bloch 1978,"",""
"Diagnosis and clinical virology of Lassa fever as evaluated by enzyme-linked immunosorbent assay, indirect fluorescent-antibody test, and virus isolation","Bausch, D. G.; Rollin, P. E.; Demby, A. H.; Coulibaly, M.; Kanu, J.; Conteh, A. S.; Wagoner, K. D.; McMullan, L. K.; Bowen, M. D.; Peters, C. J.; Ksiazek, T. G.","The Lassa virus (an arenavirus) is found in West Africa, where it sometimes causes a severe hemorrhagic illness called Lassa fever. Laboratory diagnosis has traditionally been by the indirect fluorescent-antibody (IFA) test. However, enzyme linked immunosorbent assays (ELISAs) for Lassa virus antigen and immunoglobulin M (IgM) and G (IgG) antibodies have been developed that are thought to be more sensitive and specific. We compared ELISA and IFA testing on sera from 305 suspected cases of Lassa fever by using virus isolation with a positive reverse transcription-PCR (RT-PCR) test as the ""gold standard."" Virus isolation and RT-PCR were positive on 50 (16%) of the 305 suspected cases. Taken together, Lassa virus antigen and IgM ELISAs were 88% (95% confidence interval [CI], 77 to 95%) sensitive and 99% (95% CI, 88 to 91%) specific for acute infection. Due to the stringent gold standard used, these likely represent underestimates. Diagnosis could often be made on a single serum specimen. Antigen detection was particularly useful in providing early diagnosis as well as prognostic information. Level of antigenemia varied inversely with survival, Detection by ELISA of IgG antibody early in the course of illness helped rule out acute Lassa virus infection. The presence of IFA during both acute and convalescent stages of infection, as well as significant interobserver variation in reading the slides, made interpretation difficult. However, the assay provided useful prognostic information, the presence of IFA early in the course of illness correlating with death, The high sensitivity and specificity, capability for early diagnosis, and prognostic value of the ELISAs make them the diagnostic tests of choice for the detection of Lassa fever.",2000,Jul,Journal of Clinical Microbiology,38,7,2670-2677,WOS:000088042100037,,,#1366,Bausch 2000,"",Diagnostics
Lassa Fever in Guinea: I. Epidemiology of Human Disease and Clinical Observations,"Bausch, Daniel G.; Demby, Austin H.; Coulibaly, Mamadi; Kanu, James; Goba, Augustine; Bah, Alpha; Conde, Nancouma; Wurtzel, Heather L.; Cavallaro, Kathleen F.; Lloyd, Ethleen; Baldet, Fatoumata Binta; Cisse, Sekou D.; Fofona, Djicondet; Savane, Ibrahim K.; Tolno, Robert Tamba; Mahy, Barry; Wagoner, Kent D.; Ksiazek, Thomas G.; Peters, C. J.; Rollin, Pierre E.","The arenavirus Lassa is found in West Africa, where it sometimes causes a severe illness called Lassa fever. Lassa fever has been seldom investigated outside of a few hyperendemic regions, where the described epidemiology may differ from that in areas of low or moderate incidence of disease. Through a prospective cohort study, we investigated the epidemiology and clinical presentation of Lassa fever in Guinea, where the disease has been infrequently recognized. A surveillance system was established, and suspected cases were enrolled at five Guinean hospitals. Clinical observations were made, and blood was taken for enzyme-linked immunosorbent assay testing and isolation of Lassa virus. Lassa fever was confirmed in 22 (7%) of 311 suspected cases. Another 43 (14%) had Lassa IgG antibodies, indicating past exposure. Both sexes and a wide variety of age and ethnic groups were affected. The disease was more frequently found, and the IgG seroprevalence generally higher, in the southeastern forest region. In some areas, there were significant discrepancies between the incidence of Lassa fever and the prevalence of antibody. Clinical presentations between those with Lassa fever and other febrile illnesses were essentially indistinguishable. Clinical predictors of a poor outcome were noted, but again were not specific for Lassa fever. Case-fatality rates for those with Lassa fever and non-Lassa febrile illnesses were 18% and 15%, respectively. Seasonal fluctuation in the incidence of Lassa fever was noted, but occurred similarly with non-Lassa febrile illnesses. Our results, perhaps typical of the scenario throughout much of West Africa, indicate Lassa virus infection to be widespread in certain areas of Guinea, but difficult to distinguish clinically.",2001,Dec,Vector-Borne and Zoonotic Diseases,1,4,269-+,WOS:000210779000004,,,#1368,Bausch 2001,"",""
A survey for antibodies to Lassa virus among health workers in Nigeria,"Bajani, M. D.; Tomori, O.; Rollin, P. E.; Harry, T. O.; Bukbuk, N. D.; Wilson, L.; Childs, J. E.; Peters, C. J.; Ksiazek, T. G.","A study was conducted among 552 health workers at 6 health facilities in Nigeria. Lassa virus immunoglobulin (Ig) G antibody was detected in 12.3%, using an enzyme-linked immunosorbent assay. Antibody prevalence in the 6 health centres ranged from 1.2% to 27.3%. Prevalences were higher in primary and secondary health facilities than in tertiary centres. Seroprevalences ranged from 1.7% to 23.7% among different occupational groups of health workers; the highest observed antibody prevalence was among ward aids. Lassa virus IgM antibody, indicating recent infection, was present in 6 of the health workers, 5 of whom were ward aids and one was a nurse. All of the health workers with specific IgM came from a single facility in Lafia, sampled during an outbreak of Lassa fever.",1997,Jul-Aug,Transactions of the Royal Society of Tropical Medicine and Hygiene,91,4,379-381,WOS:A1997XU33900007,,,#1386,Bajani 1997,"",""
A novel model for the lassa hemorrhagic fever: deathly disease for pregnant women,"Atangana, Abdon","Adjacent to the terminal transmissible sickness recognized as Ebola hemorrhagic fever, there is another one called Lassa hemorrhagic fever. This disease kills more pregnant women as Ebola does. A novel analysis of the construction of mathematical formulas underpinning the spread of this sickness amount in pregnant women was presented in this paper. A clear justification of the derivative used in this construction is presented. A novel operator called Atangana transform was proposed and used. The derivation of the numerical solution was achieved via the scope of an iteration method. The efficiency of the used method was tested by presenting its stability and convergence. Numerical simulations are also presented.",2015,Nov,Neural Computing & Applications,26,8,1895-1903,WOS:000361397500009,,,#1410,Atangana 2015,"",mathematical model
"Molecular Diagnostics for Lassa Fever at Irrua Specialist Teaching Hospital, Nigeria: Lessons Learnt from Two Years of Laboratory Operation","Asogun, Danny A.; Adomeh, Donatus I.; Ehimuan, Jacqueline; Odia, Ikponmwonsa; Hass, Meike; Gabriel, Martin; Oelschlaeger, Stephan; Becker-Ziaja, Beate; Folarin, Onikepe; Phelan, Eric; Ehiane, Philomena E.; Ifeh, Veritas E.; Uyigue, Eghosasere A.; Oladapo, Yemisi T.; Muoebonam, Ekene B.; Osunde, Osagie; Dongo, Andrew; Okokhere, Peter O.; Okogbenin, Sylvanus A.; Momoh, Mojeed; Alikah, Sylvester O.; Akhuemokhan, Odigie C.; Imomeh, Peter; Odike, Maxy A. C.; Gire, Stephen; Andersen, Kristian; Sabeti, Pardis C.; Happi, Christian T.; Akpede, George O.; Guenther, Stephan","Background: Lassa fever is a viral hemorrhagic fever endemic in West Africa. However, none of the hospitals in the endemic areas of Nigeria has the capacity to perform Lassa virus diagnostics. Case identification and management solely relies on non-specific clinical criteria. The Irrua Specialist Teaching Hospital (ISTH) in the central senatorial district of Edo State struggled with this challenge for many years. Methodology/Principal Findings: A laboratory for molecular diagnosis of Lassa fever, complying with basic standards of diagnostic PCR facilities, was established at ISTH in 2008. During 2009 through 2010, samples of 1,650 suspected cases were processed, of which 198 (12%) tested positive by Lassa virus RT-PCR. No remarkable demographic differences were observed between PCR-positive and negative patients. The case fatality rate for Lassa fever was 31%. Nearly two thirds of confirmed cases attended the emergency departments of ISTH. The time window for therapeutic intervention was extremely short, as 50% of the fatal cases died within 2 days of hospitalization-often before ribavirin treatment could be commenced. Fatal Lassa fever cases were older (p = 0.005), had lower body temperature (p<0.0001), and had higher creatinine (p<0.0001) and blood urea levels (p<0.0001) than survivors. Lassa fever incidence in the hospital followed a seasonal pattern with a peak between November and March. Lassa virus sequences obtained from the patients originating from Edo State formed-within lineage II-a separate clade that could be further subdivided into three clusters. Conclusions/Significance: Lassa fever case management was improved at a tertiary health institution in Nigeria through establishment of a laboratory for routine diagnostics of Lassa virus. Data collected in two years of operation demonstrate that Lassa fever is a serious public health problem in Edo State and reveal new insights into the disease in hospitalized patients.",2012,Sep,PLoS Neglected Tropical Diseases,6,9,,WOS:000309528100036,,,#1413,Asogun 2012,"",Diagnostics
Clinical Sequencing Uncovers Origins and Evolution of Lassa Virus,"Andersen, Kristian G.; Shapiro, B. Jesse; Matranga, Christian B.; Sealfon, Rachel; Lin, Aaron E.; Moses, Lina M.; Folarin, Onikepe A.; Goba, Augustine; Odia, Ikponmwonsa; Ehiane, Philomena E.; Momoh, Mambu; England, Eleina M.; Winnicki, Sarah; Branco, Luis M.; Gire, Stephen K.; Phelan, Eric; Tariyal, Ridhi; Tewhey, Ryan; Omoniwa, Omowunmi; Fullah, Mohammed; Fonnie, Richard; Fonnie, Mbalu; Kanneh, Lansana; Jalloh, Simbirie; Gbakie, Michael; Saffa, Sidiki; Karbo, Kandeh; Gladden, Adrianne D.; Qu, James; Stremlau, Matthew; Nekoui, Mahan; Finucane, Hilary K.; Tabrizi, Shervin; Vitti, Joseph J.; Birren, Bruce; Fitzgerald, Michael; McCowan, Caryn; Ireland, Andrea; Berlin, Aaron M.; Bochicchio, James; Tazon-Vega, Barbara; Lennon, Niall J.; Ryan, Elizabeth M.; Bjornson, Zach; Milner, Danny A., Jr.; Lukens, Amanda K.; Broodie, Nisha; Rowland, Megan; Heinrich, Megan; Akdag, Marjan; Schieffelin, John S.; Levy, Danielle; Akpan, Henry; Bausch, Daniel G.; Rubins, Kathleen; McCormick, Joseph B.; Lander, Eric S.; Guenther, Stephan; Hensley, Lisa; Okogbenin, Sylvanus; Schaffner, Stephen F.; Okokhere, Peter O.; Khan, S. Humarr; Grant, Donald S.; Akpede, George O.; Asogun, Danny A.; Gnirke, Andreas; Levin, Joshua Z.; Happi, Christian T.; Garry, Robert F.; Sabeti, Pardis C.","The 2013-2015 West African epidemic of Ebola virus disease (EVD) reminds us of how little is known about biosafety level 4 viruses. Like Ebola virus, Lassa virus (LASV) can cause hemorrhagic fever with high case fatality rates. We generated a genomic catalog of almost 200 LASV sequences from clinical and rodent reservoir samples. We show that whereas the 2013-2015 EVD epidemic is fueled by human-to-human transmissions, LASV infections mainly result from reservoir-to-human infections. We elucidated the spread of LASV across West Africa and show that this migration was accompanied by changes in LASV genome abundance, fatality rates, codon adaptation, and translational efficiency. By investigating intrahost evolution, we found that mutations accumulate in epitopes of viral surface proteins, suggesting selection for immune escape. This catalog will serve as a foundation for the development of vaccines and diagnostics.",2015,Aug 13,Cell,162,4,738-750,WOS:000359741400009,,,#1426,Andersen 2015,"",Phylogenetic studies (e.g. source-sink)
The progression from endemic to epidemic Lassa fever in war-torn West Africa,"Allan, R.; Mardell, S.; Ladbury, R.; Pearce, E.; Skinner, K.","In May 1996, during the ongoing civil war in Sierra Leone, Medical Emergency Relief International (MERLIN) responded to an outbreak of Lassa fever in the eastern province of Kenema and Kailahun districts. Material support was given to Kenema Government Hospital and the number of people affected by severe disease was assessed. The outbreak continued and, during the first 4 months of 1997, it unexpectedly escalated such that MERLIN hospitalized 352 severe cases, the largest number ever recorded in West Africa. Working closely with local health authorities. MERLIN developed and implemented a disease prevention and control strategy through existing health facilities and community health teams in Kenema and the districts of Kenema and Kailahun. This integrated approach successfully reduced the death rate of hospitalized cases from 56% to < 15% and significantly improved detection and referral of cases from the district.",1999,,,,,197-205,WOS:000086564100020,,,#1433,Allan 1999,"Natsuko Imai (2019-10-24 01:19:35)(Select): epicurve; Natsuko Imai (2019-10-24 01:18:43)(Select): paper copy; Natsuko Imai (2019-09-17 01:30:44)(Select): requested from British Library - listed as arrived and processed
; David Jorgensen (2019-06-21 02:04:12)(Select): cant find - in spreadsheet
; ",""
Prevalence of Lassa Virus Disease (LVD) in Nigerian children with fever or fever and convulsions in an endemic area,"Akhuemokhan, Odigie C.; Ewah-Odiase, Rosemary O.; Akpede, Nosa; Ehimuan, Jacqueline; Adomeh, Donatus I.; Odia, Ikpomwonsa; Olomu, Sylvia C.; Pahlmann, Meike; Becker-Ziaja, Beate; Happi, Christian T.; Asogun, Danny A.; Okogbenin, Sylvanus A.; Okokhere, Peter O.; Dawodu, Osagie S.; Omoike, Irekpono U.; Sabeti, Pardis C.; Guenther, Stephan; Akpede, George O.","Background Convulsions with fever in children are a common neurologic emergency in the tropics, and determining the contribution of endemic viral infections can be challenging. In particular, there is a dearth of data on the prevalence and clinical differentiation of Lassa virus disease (LVD) in febrile children in endemic areas of Nigeria, which has multiple lineages of the virus. The aim of this study was to determine the prevalence and presentation of LVD in febrile children with and without convulsions. Methodology/Principal findings This was a prospective study of consecutive febrile children aged >= 1 month-15 years admitted to the Children's Emergency Room of Irrua Specialist Teaching Hospital over a period of 1 year. Febrile children with convulsions (Cases) were compared with those without convulsions (Controls). LVD was defined by the presence of a positive Lassa virus RT-PCR test. Rates were compared between groups using chi 2 or Fisher's exact tests and p <0.05 taken as significant. 373 (40.9%) of 913 admissions had fever. Of these, 108/373 (29%) presented with convulsions. The overall prevalence of LVD was 13/373 (3.5%; 95% CI = 1.9%, 5.7%) in febrile admissions, 3/108 (2.8%) in Cases and 10/265 (3.8%) in Controls [(Odds Ratio (95% Confidence Interval) (OR (95% CI)) of LVD in Cases versus Controls = 0.73 (0.2, 2.7)]. Only vomiting (OR (95% CI) = 0.09 (0.01, 0.70)) and bleeding (OR (95% CI) = 39.56 (8.52, 183.7)) were significantly associated with an increased prevalence of LVD. Conclusions/Significance LVD is an important cause of fever, including undifferentiated fever in children in endemic areas, but it is not significantly associated with convulsions associated with fever. Its prevalence, and lack of clinical differentiation on presentation, underscores the importance of a high index of suspicion in diagnosis. Screening of febrile children with undifferentiated fever in endemic areas for LVD could be an important medical and public health control measure.",2017,Jul,PLoS Neglected Tropical Diseases,11,7,,WOS:000408057300031,,,#1444,Akhuemokhan 2017,"",""
"Containing a Lassa fever epidemic in a resource-limited setting: outbreak description and lessons learned from Abakaliki, Nigeria (January-March 2012)","Ajayi, Nnennaya A.; Nwigwe, Chinedu G.; Azuogu, Ben N.; Onyire, Benson N.; Nwonwu, Elizabeth U.; Ogbonnaya, Lawrence U.; Onwe, Francis I.; Ekaete, Tobin; Guenther, Stephan; Ukwaja, Kingsley N.","Objectives: Despite the epidemic nature of Lassa fever (LF), details of outbreaks and response strategies have not been well documented in resource-poor settings. We describe the course of a LF outbreak in Ebonyi State, Nigeria, during January to March 2012. Methods: We analyzed clinical, epidemiological, and laboratory data from surveillance records and hospital statistics during the outbreak. Fisher's exact tests were used to compare proportions and t-tests to compare differences in means. Results: The outbreak response consisted of effective coordination, laboratory testing, active surveillance, community mobilization, contact and suspected case evaluation, and case management. Twenty LF cases (10 confirmed and 10 suspected) were recorded during the outbreak. Nosocomial transmission to six health workers occurred through the index case. Only 1/110 contacts had an asymptomatic infection. Overall, there was high case fatality rate among all cases (6/20; 30%). Patients who received ribavirin were less likely to die than those who did not (p = 0.003). The mean delay to presentation for patients who died was 11 +/- 3.5 days, while for those who survived was 6 +/- 2.6 days (p < 0.001). Conclusions: The response strategies contained the epidemic. Challenges to control efforts included poor local laboratory capacity, inadequate/poor quality of protective materials, fear among health workers, and inadequate emergency preparedness. (C) 2013 International Society for Infectious Diseases. Published by Elsevier Ltd. All rights reserved.",2013,Nov,International Journal of Infectious Diseases,17,11,E1011-E1016,WOS:000325986700015,,,#1447,Ajayi 2013,"",""
"Viral haemorrhagic fever surveillance in Kenya, 1980-1981.",Johnson BK.; Ocheng D.; Gitau LG.; Gichogo A.; Tukei PM.; Ngindu A.; Langatt A.; Smith DH.; Johnson KM.; Kiley MP.; Swanepoel R.; Isaacson M.,"Following two cases of Marburg virus disease in Kenya in 1980, viral haemorrhagic fever surveillance was undertaken in western Kenya. Over a 21-month period investigations, including virus isolation attempts, patient and contact serology, visits to areas where suspected cases occurred, interviewing family members and neighbours of suspected cases and following up any additional illnesses in these areas, were carried out. During the study two cases were found that were likely to have been Ebola haemorrhagic fever based on rising antibody titres or positive serology in contacts. Diagnoses of hepatitis A, hepatitis B, malaria, bacterial septicaemia or other causes were arrived at in 24 cases. No diagnosis could be made in 26 instances. 741 human sera were tested for antibodies against Marburg, Ebola, Congo haemorrhagic fever, Rift Valley fever or Lassa fever viruses by indirect fluorescence. Eight sera were positive for Ebola virus antibodies, all of which were from suspected cases or contacts of suspected cases. Two sera were antibody positive to Congo virus and one had antibodies against Rift Valley fever virus. No Marburg or Lassa virus antibodies were detected.",1983,Mar,Tropical and geographical medicine,35,1,43-7,,,6684336,#2008,Johnson 1983,Natsuko Imai (2019-10-23 23:28:01)(Select): negative seroprevalence in high risk healthy pop; Natsuko Imai (2019-10-23 23:27:09)(Select): paper copy; ,""
