,Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,perg_abstract_result,perg_fulltext_result
954,Molecular biology and gene technology (2),"Horzinek, M. C.","Darwinian evolution and mutation at the molecular level are discussed as an introduction to the consideration of evolutionary mutational changes in viruses, which may lead to the appearance of new diseases. Lassa fever and AIDS in man, parvovirus infection in dogs, and paramyxo virus infection in seals are given as examples of such diseases. [For Pt. 1 see pp. 29-31 of No. 27 of the same journal].",1989.0,1989,Effem-Forschung fur Heimtiernahrung,,28,33-37,CABI:19890173292,,,#1218,Horzinek 1989,,,EXCLUDE,EXCLUDE
955,An Arenavirus and the Plague of Athens,"Hopper, J. M. H.",,1992.0,Jun,Journal of the Royal Society of Medicine,85,6,350-351,WOS:A1992HW17800015,,,#1219,Hopper 1992,Natsuko Imai (2019-03-27 22:35:17)(Screen): https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1293501/?page=1; ,,EXCLUDE,EXCLUDE
956,Prioritizing Risks and Uncertainties from Intentional Release of Selected Category A Pathogens,"Hong, Tao; Gurian, Patrick L.; Huang, Yin; Haas, Charles N.","This paper synthesizes available information on five Category A pathogens (Bacillus anthracis, Yersinia pestis, Francisella tularensis, Variola major and Lassa) to develop quantitative guidelines for how environmental pathogen concentrations may be related to human health risk in an indoor environment. An integrated model of environmental transport and human health exposure to biological pathogens is constructed which 1) includes the effects of environmental attenuation, 2) considers fomite contact exposure as well as inhalational exposure, and 3) includes an uncertainty analysis to identify key input uncertainties, which may inform future research directions. The findings provide a framework for developing the many different environmental standards that are needed for making risk-informed response decisions, such as when prophylactic antibiotics should be distributed, and whether or not a contaminated area should be cleaned up. The approach is based on the assumption of uniform mixing in environmental compartments and is thus applicable to areas sufficiently removed in time and space from the initial release that mixing has produced relatively uniform concentrations. Results indicate that when pathogens are released into the air, risk from inhalation is the main component of the overall risk, while risk from ingestion (dermal contact for B. anthracis) is the main component of the overall risk when pathogens are present on surfaces. Concentrations sampled from untracked floor, walls and the filter of heating ventilation and air conditioning (HVAC) system are proposed as indicators of previous exposure risk, while samples taken from touched surfaces are proposed as indicators of future risk if the building is reoccupied. A Monte Carlo uncertainty analysis is conducted and input-output correlations used to identify important parameter uncertainties. An approach is proposed for integrating these quantitative assessments of parameter uncertainty with broader, qualitative considerations to identify future research priorities.",2012.0,Mar 6,Plos One,7,3,,WOS:000303021100025,,,#1220,Hong 2012,,,EXCLUDE,EXCLUDE
957,Phylogenetic analysis reveals a low rate of homologous recombination in negative-sense RNA viruses,"Holmes, E.","Recombination is increasingly seen as an important means of shaping genetic diversity in RNA viruses. However, observed recombination frequencies vary widely among those viruses studied to date, with only sporadic occurrences reported in RNA viruses with negative-sense genomes. To determine the extent of homologous recombination in negative-sense RNA viruses, phylogenetic analyses of 79 gene sequence alignments from 35 negative-sense RNA viruses (a total of 2154 sequences) were carried out. Powerful evidence was found for recombination, in the form of incongruent phylogenetic trees between different gene regions, in only five sequences from Hantaan virus, Mumps virus and Newcastle disease virus. This is the first report of recombination in these viruses. More tentative evidence for recombination, where conflicting phylogenetic trees were observed (but were without strong bootstrap support) and/or where putative recombinant regions were very short, was found in three alignments from La Crosse virus and Puumala virus. Finally, patterns of sequence variation compatible with the action of recombination, but not definitive evidence for this process, were observed in a further ten viruses: Canine distemper virus, Crimean-Congo haemorrhagic fever virus, Influenza A virus, Influenza B virus, Influenza C virus, Lassa virus, Pirital virus, Rabies virus, Rift Valley Fever virus and Vesicular stomatitis virus. The possibility of recombination in these viruses should be investigated further. Overall, this study reveals that rates of homologous recombination in negative-sense RNA viruses are very much lower than those of mutation, with many viruses seemingly clonal on current data. Consequently, recombination rate is unlikely to be a trait that is set by natural selection to create advantageous or purge deleterious mutations.",2003.0,Oct,Journal of General Virology,84,,2691-2703,WOS:000189155700009,,,#1222,Holmes 2003,,,EXCLUDE,EXCLUDE
958,Emerging viruses,"Holland, David J.",,1998.0,Feb.,Current Opinion in Pediatrics,10,1,34-40,BCI:BCI199800236549,,,#1223,Holland 1998,"Natsuko Imai (2019-03-27 22:33:18)(Screen): An emerging virus is a term applied to a newly discovered virus, one that is increasing in incidence or with the potential to increase in incidence. Many viruses fit into this definition. HIV is the clearest example of a previously unknown virus that has now produced one of the largest pandemics in history. Recent advances have occurred in the identification and understanding of new hantaviruses in the Americas, causing an acute respiratory disease. The possible causal role of human herpesvirus 8 in Kaposi's sarcoma has gained support, whereas that of a newly discovered flavivirus in causing hepatitis has not been confirmed. A major advance has been evidence showing that the bovine spongiform encephalopathy agent is almost certainly the cause of a new variant of Creutzfeldt-Jakob disease. Although new viruses are discovered almost yearly (e.g., Australian bat lyssavirus), other ""older"" viruses (e.g., dengue) are reemerging, infecting millions of people every year with significant mortality.; ",,EXCLUDE,EXCLUDE
959,Recent advances in filovirus- and arenavirus-like particles,"Hoenen, Thomas; Kolesnikova, Larissa; Becker, Stephan","Both filoviruses and arenaviruses are enveloped viruses with a single-stranded RNA genome. Most human pathogenic arenaviruses, as well as filoviruses, cause severe hemorrhagic fevers with a high rate of case fatalities. Increasing numbers of outbreaks, the possibility of imported infections and the potential use of these viruses as bioterrorism agents have led to increased interest in these viruses and their biology. Virus-like particles are excellent tools to study the life-cycle of filoviruses and arenaviruses and have demonstrated the potential for use as safe and effective vaccines. This review summarizes the recent advances in the production, study and application of filovirus- and arenavirus-like particles, and provides an outlook on possible future directions for research into these viruses using virus-like particles.",2007.0,Mar,Future Virology,2,2,193-203,WOS:000249426800014,,,#1224,Hoenen 2007,,,EXCLUDE,EXCLUDE
960,Genotype-Phenotype Correlations for Protein O-Linked Mannose NAcetylglucosaminyltransferase 1 in Congenital Muscular Dystrophy,"Ho, Jessica Ziling; Boyd, Sally Riewe; Singh, Danish; Halmo, Stephanie Marie; Wells, Lance",,2018.0,Apr,Faseb Journal,32,1,,WOS:000436985002430,,,#1225,Ho 2018,,,EXCLUDE,EXCLUDE
961,[The first imported case of Lassa fever in Japan],"Hirabayashi, Y.; Oka, S.; Goto, H.; Shimada, K.; Kurata, T.; Fisher-Hoch, S. P.; McCormick, J. B.",,1989.0,1989-Jan,Nihon rinsho. Japanese journal of clinical medicine,47,1,71-5,MEDLINE:2724572,,,#1226,Hirabayashi 1989,,,EXCLUDE,EXCLUDE
962,An Imported Case of Lassa Fever with Late Appearance of Polyserositis,"Hirabayashi, Y.; Oka, S.; Goto, H.; Shimada, K.; Kurata, T.; Fisherhoch, S. P.; McCormick, J. B.",,1988.0,Oct,Journal of Infectious Diseases,158,4,872-875,WOS:A1988Q257600031,,,#1227,Hirabayashi 1988,Natsuko Imai (2019-03-27 22:32:29)(Screen): https://watermark.silverchair.com/158-4-872.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAmIwggJeBgkqhkiG9w0BBwagggJPMIICSwIBADCCAkQGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMkOpBDl9Hgutp4cN2AgEQgIICFc19Rgs6D6Zat_8AsSMpQ89_FY3PSiEf0XzmaxyxkNShqfDvk8RvrA6vVYESsL2Le1lfHaBpxsSa4skv3RaMz74T1BQ7HPWCnaaQO5KgVdkJjzhcBDHDphVdlHzKQndXGQ7Jfbq3CVjXriN09yWJQsx_9SX-ZLIGNYyGAWv3kSKG_BjUOXZza_2vVf4jzT1dzXmzL3hT28yYg0KDPIWAWvLX-xurufIV7z9Di6KGIhNqLtr5ypwWYJlyq2MX9DTIyaqvLn6VCw9cW6qdDmHZpeePyK7RIbZLiyQx3Sii2GAQU7Tz2MkM8bVYRFnB20tX4c4h-DtL_uVtBi81b37c5mSrO0auvL9cRA4btQqsR1mGk8bLiQb3iNxYMkpthlKwgHSzuIG1_VokN_v_DHfOGIA5IsJW6r-kLCYRuF2KKrvmB8rs9QMUPhlskdCLGNh2uCt_ManGzF4jjJu7WrwqLzw4uCxdYkxhy_PHkTcJghAd3gRlODGz_NGKbtOQVEMRHdqede3zOrAS9dh4qaIfn02G9vHncipxzdQQab315z1lxQ_kBIF18-tSnSeRpRd7RZyRXkq8itCinxWu5GWLcp6hkHK5JVMn9Re-i3oh0AJvyuOxaIr25z2TnW0Nbg7n_7gX9GkBh3MRbSityOcYWuEQGiXWu1xT_D0TdKPkKBAt8Udl6OKmg2M1oa2ygmUhCO2rMCmU; ,,EXCLUDE,EXCLUDE
963,[Lassa fever: its virological and clinical aspects],"Hirabayashi, Y.",,1999.0,1999,Ryoikibetsu shokogun shirizu,,23 Pt 1,80-4,MEDLINE:10088343,,,#1228,Hirabayashi 1999,,,EXCLUDE,EXCLUDE
964,"Medical geography - West Africa (Nigeria, Cameroon)","Hinz, E.","This book gives a survey of the distribution of disease in Nigeria and Cameroon. The data were collected in 1965 and 1967 from the government medical statistics in Lagos and various other centres. For this purpose the area was divided into 50 medical districts. Three major groups of diseases were recognised. The first group consisted of the great parasitic diseases - malaria, filariases, onchocerciasis, sleeping sickness, intestinal helminthiases, schistosomiasis and dracunculiasis. The 2nd group was chronic contagious diseases - tuberculosis, leprosy, yaws, venereal disease, etc. The 3rd group consisted of the more acute contagious epidemics like polio, measles, smallpox and cerebrospinal meningitis. Other infections were occasionally encountered, e.g. cholera, plague, yellow fever and Lassa fever. The whole geographical area is divided into 8 main types according to the disease patterns. Between 1967 and 1977 (date of compilation) there was a great expansion of hospital beds and facilities but related to the growth of the population the basic health provision has remained unchanged. Apart from various immunisation campaigns against smallpox, polio and measles it seems that Western medicine has not yet been able to reduce the load of disease in Nigeria. The book contains a great mass of information and medical data which should be very valuable for medical administration. There are summaries in English and French.",1984.0,,,,,xxvi + 305pp.-xxvi + 305pp.,CABI:19850823262,,,#1229,Hinz 1984,,,EXCLUDE,EXCLUDE
965,Effective Treatment of Experimental Lymphocytic Choriomeningitis Virus Infection: Consideration of Favipiravir for Use With Infected Organ Transplant Recipients,"Hickerson, Brady T.; Westover, Jonna B.; Jung, Kie-Hoon; Komeno, Takashi; Furuta, Yousuke; Gowen, Brian B.","Lymphocytic choriomeningitis virus (LCMV) poses a substantial risk to immunocompromised individuals. The case fatality rate in recent clusters of LCMV infection in immunosuppressed organ transplantation recipients has exceeded 70%. In the present study, we demonstrate potent antiviral activity of favipiravir against acute, disseminated LCMV infection in NZB mice. Treatment resulted in complete protection against mortality and dramatic reductions in viral loads. In contrast, ribavirin, the current antiviral of choice, was mostly ineffective. Our findings, and the high lethality associated with LCMV infection in transplant recipients, support the consideration of favipiravir as a first-line therapeutic option.",2018.0,Aug 15,Journal of Infectious Diseases,218,4,522-527,WOS:000439176000005,,,#1231,Hickerson 2018,,,EXCLUDE,EXCLUDE
966,Lessons learnt from imported cases and onward transmission of Lassa fever in Europe support broader management of viral haemorrhagic fevers,"Hewson, Roger",,2017.0,Sep 28,Eurosurveillance,22,39,2-4,WOS:000412080700001,,,#1232,Hewson 2017,,,EXCLUDE,EXCLUDE
967,Effectiveness of Personal Protective Equipment for Healthcare Workers Caring for Patients with Filovirus Disease: A Rapid Review,"Hersi, Mona; Stevens, Adrienne; Quach, Pauline; Hamel, Candyce; Thavorn, Kednapa; Garritty, Chantelle; Skidmore, Becky; Vallenas, Constanza; Norris, Susan L.; Egger, Matthias; Eremin, Sergey; Ferri, Mauricio; Shindo, Nahoko; Moher, David","Background A rapid review, guided by a protocol, was conducted to inform development of the World Health Organization's guideline on personal protective equipment in the context of the ongoing (2013-present) Western African filovirus disease outbreak, with a focus on health care workers directly caring for patients with Ebola or Marburg virus diseases. Methods Electronic databases and grey literature sources were searched. Eligibility criteria initially included comparative studies on Ebola and Marburg virus diseases reported in English or French, but criteria were expanded to studies on other viral hemorrhagic fevers and non-comparative designs due to the paucity of studies. After title and abstract screening (two people to exclude), full-text reports of potentially relevant articles were assessed in duplicate. Fifty-seven percent of extraction information was verified. The Grading of Recommendations Assessment, Development and Evaluation framework was used to inform the quality of evidence assessments. Results Thirty non-comparative studies (8 related to Ebola virus disease) were located, and 27 provided data on viral transmission. Reporting of personal protective equipment components and infection prevention and control protocols was generally poor. Conclusions Insufficient evidence exists to draw conclusions regarding the comparative effectiveness of various types of personal protective equipment. Additional research is urgently needed to determine optimal PPE for health care workers caring for patients with filovirus.",2015.0,Oct 9,Plos One,10,10,,WOS:000362511200056,,,#1233,Hersi 2015,,,EXCLUDE,EXCLUDE
968,The N Terminus of Andes Virus L Protein Suppresses mRNA and Protein Expression in Mammalian Cells,"Heinemann, Patrick; Schmidt-Chanasit, Jonas; Guenther, Stephan","Little is known about the structure and function of the 250-kDa L protein of hantaviruses, although it plays a central role in virus genome transcription and replication. When attempting to study Andes virus (ANDV) L protein in mammalian cells, we encountered difficulties. Even in a strong overexpression system, ANDV L protein could not be detected by immunoblotting. Deletion analysis revealed that the 534 N-terminal amino acid residues determine the low-expression phenotype. Inhibition of translation due to RNA secondary structures around the start codon, rapid proteasomal degradation, and reduced half-life time were excluded. However, ANDV L protein expression could be rescued upon mutation of the catalytic PD-E-K motif and further conserved residues of the putative endonuclease at the N terminus of the protein. In addition, wild-type ANDV L rather than expressible L mutants suppressed the level of L mRNA, as well as reporter mRNAs. Wild-type L protein also reduced the synthesis of cellular proteins in the high-molecular-weight range. Using expressible ANDV L mutants as a tool for localization studies, we show that L protein colocalizes with ANDV N and NSs but not Gc protein. A fraction of L protein also colocalized with the cellular processing (P) body component DCP1a. Overall, these data suggest that ANDV L protein possesses a highly active endonuclease at the N terminus suppressing the level of its own as well as heterologous mRNAs upon recombinant expression in mammalian cells.",2013.0,Jun,Journal of Virology,87,12,6975-6985,WOS:000319508600040,,,#1236,Heinemann 2013,,,EXCLUDE,EXCLUDE
969,"Simultaneous Detection of CDC Category ""A"" DNA and RNA Bioterrorism Agents by Use of Multiplex PCR & RT-PCR Enzyme Hybridization Assays","He, Jie; Kraft, Andrea J.; Fan, Jiang; Van Dyke, Meredith; Wang, Lihua; Bose, Michael E.; Khanna, Marilyn; Metallo, Jacob A.; Henrickson, Kelly J.","Assays to simultaneously detect multiple potential agents of bioterrorism are limited. Two multiplex PCR and RT-PCR enzyme hybridization assays (mPCR-EHA, mRT-PCR-EHA) were developed to simultaneously detect many of the CDC category ""A"" bioterrorism agents. The ""Bio T"" DNA assay was developed to detect: Variola major (VM), Bacillus anthracis (BA), Yersinia pestis (YP), Francisella tularensis (FT) and Varicella zoster virus (VZV). The ""Bio T"" RNA assay (mRT-PCR-EHA) was developed to detect: Ebola virus (Ebola), Lassa fever virus (Lassa), Rift Valley fever (RVF), Hantavirus Sin Nombre species (HSN) and dengue virus (serotypes 1-4). Sensitivity and specificity of the 2 assays were tested by using genomic DNA, recombinant plasmid positive controls, RNA transcripts controls, surrogate (spiked) clinical samples and common respiratory pathogens. The analytical sensitivity (limit of detection (LOD)) of the DNA asssay for genomic DNA was 1x10(0)similar to 1x10(2) copies/mL for BA, FT and YP. The LOD for VZV whole organism was 1x10(-2) TCID50/mL. The LOD for recombinant controls ranged from 1x10(2)similar to 1x10(3)copies/mL for BA, FT, YP and VM. The RNA assay demonstrated LOD for RNA transcript controls of 1x10(4)similar to 1x10(6) copies/mL without extraction and 1x10(5)similar to 1x10(6) copies/mL with extraction for Ebola, RVF, Lassa and HSN. The LOD for dengue whole organisms was similar to 1x10(-4) dilution for dengue 1 and 2, 1x10(4) LD50/mL and 1x10(2) LD50/mL for dengue 3 and 4. The LOD without extraction for recombinant plasmid DNA controls was similar to 1x10(3) copies/mL (1.5 input copies/reaction) for Ebola, RVF, Lassa and HSN. No cross-reactivity of primers and probes used in both assays was detected with common respiratory pathogens or between targeted analytes. Clinical sensitivity was estimated using 264 surrogate clinical samples tested with the BioT DNA assay and 549 samples tested with the BioT RNA assay. The clinical specificity is 99.6% and 99.8% for BioT DNA assay and BioT RNA assay, respectively. The surrogate sensitivities of these two assays were 100% (95% CI 83-100) for FT, BA (pX02), YP, VM, VZV, dengue 2,3,4 and 95% (95% CI 75-100) for BA (pX01) and dengue 1 using spiked clinical specimens. The specificity of both BioT multiplex assays on spiked specimens was 100% (95% CI 99-100). Compared to other available assays (culture, serology, PCR, etc.) both the BioT DNA mPCR-EHA and BioT RNA mRT-PCR-EHA are rapid, sensitive and specific assays for detecting many category ""A"" Bioterrorism agents using a standard thermocycler.",2009.0,Dec,Viruses-Basel,1,3,441-459,WOS:000280413200005,,,#1237,He 2009,,,EXCLUDE,EXCLUDE
970,Spectral Changes of the Lung Tissue of Pichinde Virus-Infected Guinea-Pig by High-Resolution Nuclear Magnetic Resonance Nmr,"Hazlewood, C. F.; Peters, C. J.; Liu, C. T.",,1992.0,1992,Faseb Journal,6,5,A1669-A1669,BCI:BCI199243005019,,,#1238,Hazlewood 1992,,,EXCLUDE,EXCLUDE
971,Arenavirus Evasion of Host Anti-Viral Responses,"Hayes, Melissa; Salvato, Maria","The innate response to infection by an Old World arenavirus is initiated and mediated by extracellular and intracellular receptors, and effector molecules. In response, the invading virus has evolved to inhibit these responses and create the best environment possible for replication and spread. Here, we will discuss both the host's response to infection with data from human infection and lessons learned from animal models, as well as the multitude of ways the virus combats the resulting immune response. Finally, we will highlight recent work identifying TLR2 as an innate sensor for arenaviruses and how the TLR2-dependent response differs depending on the pathogenicity of the strain.",2012.0,Oct,Viruses-Basel,4,10,2182-2196,WOS:000310462100016,,,#1239,Hayes 2012,,,EXCLUDE,EXCLUDE
972,Structural basis for antibody-mediated neutralization of Lassa virus,"Hastie, Kathryn M.; Zandonatti, Michelle A.; Kleinfelter, Lara M.; Heinrich, Megan L.; Rowland, Megan M.; Chandran, Kartik; Branco, Luis M.; Robinson, James E.; Garry, Robert F.; Saphire, Erica Ollmann","The arenavirus Lassa causes severe hemorrhagic fever and a significant disease burden in West Africa every year. The glycoprotein, GPC, is the sole antigen expressed on the viral surface and the critical target for antibody-mediated neutralization. Here we present the crystal structure of the trimeric, prefusion ectodomain of Lassa GP bound to a neutralizing antibody from a human survivor at 3.2-angstrom resolution. The antibody extensively anchors two monomers together at the base of the trimer, and biochemical analysis suggests that it neutralizes by inhibiting conformational changes required for entry. This work illuminates pH-driven conformational changes in both receptor-binding and fusion subunits of Lassa virus, illustrates the unique assembly of the arenavirus glycoprotein spike, and provides a much-needed template for vaccine design against these threats to global health.",2017.0,Jun 2,Science,356,6341,923-+,WOS:000402552300028,,,#1240,Hastie 2017,,,EXCLUDE,EXCLUDE
973,Crystal Structure of the Oligomeric Form of Lassa Virus Matrix Protein Z,"Hastie, Kathryn M.; Zandonatti, Michelle; Liu, Tong; Li, Sheng; Woods, Virgil L., Jr.; Saphire, Erica Ollmann","The arenavirus matrix protein Z is highly multifunctional and occurs in both monomeric and oligomeric forms. The crystal structure of a dodecamer of Z from Lassa virus, presented here, illustrates a ring-like structure with a highly basic center. Mutagenesis demonstrates that the dimeric interface within the dodecamer and a Lys-Trp-Lys triad at the center of the ring are important for oligomerization. This structure provides an additional template to explore the many functions of Z.",2016.0,May,Journal of Virology,90,9,4556-4562,WOS:000375125400027,,,#1241,Hastie 2016,,,EXCLUDE,EXCLUDE
974,Crystal structure of the Lassa virus nucleoprotein-RNA complex reveals a gating mechanism for RNA binding,"Hastie, Kathryn M.; Liu, Tong; Li, Sheng; King, Liam B.; Nhi, Ngo; Zandonatti, Michelle A.; Woods, Virgil L., Jr.; de la Torre, Juan Carlos; Saphire, Erica Ollmann","Arenaviruses cause disease in industrialized and developing nations alike. Among them, the hemorrhagic fever virus Lassa is responsible for similar to 300,000-500,000 infections/y in Western Africa. The arenavirus nucleoprotein (NP) forms the protein scaffold of the genomic ribonucleoprotein complexes and is critical for transcription and replication of the viral genome. Here, we present crystal structures of the RNA-binding domain of Lassa virus NP in complex with ssRNA. This structure shows, in contrast to the predicted model, that RNA binds in a deep, basic crevice located entirely within the N-terminal domain. Furthermore, the NP-ssRNA structures presented here, combined with hydrogen-deuterium exchange/MS and functional studies, suggest a gating mechanism by which NP opens to accept RNA. Directed mutagenesis and functional studies provide a unique look into how the arenavirus NPs bind to and protect the viral genome and also suggest the likely assembly by which viral ribonucleoprotein complexes are organized.",2011.0,Nov 29,Proceedings of the National Academy of Sciences of the United States of America,108,48,19365-19370,WOS:000297463100055,,,#1242,Hastie 2011,,,EXCLUDE,EXCLUDE
975,Structure of the Lassa virus nucleoprotein reveals a dsRNA-specific 3 ' to 5 ' exonuclease activity essential for immune suppression,"Hastie, Kathryn M.; Kimberlin, Christopher R.; Zandonatti, Michelle A.; MacRae, Ian J.; Saphire, Erica Ollmann","Lassa fever virus, a member of the family Arenaviridae, is a highly endemic category A pathogen that causes 300,000-500,000 infections per year in Western Africa. The arenaviral nucleoprotein NP has been implicated in suppression of the host innate immune system, but the mechanism by which this occurs has remained elusive. Here we present the crystal structure at 1.5 angstrom of the immunosuppressive C-terminal portion of Lassa virus NP and illustrate that, unexpectedly, its 3D fold closely mimics that of the DEDDh family of exonucleases. Accompanying biochemical experiments illustrate that NP indeed has a previously unknown, bona fide exonuclease activity, with strict specificity for double-stranded RNA substrates. We further demonstrate that this exonuclease activity is essential for the ability of NP to suppress translocation of IFN regulatory factor 3 and block activation of the innate immune system. Thus, the nucleoprotein is a viral exonuclease with anti-immune activity, and this work provides a unique opportunity to combat arenaviral infections.",2011.0,Feb 8,Proceedings of the National Academy of Sciences of the United States of America,108,6,2396-2401,WOS:000287084500043,,,#1243,Hastie 2011,,,EXCLUDE,EXCLUDE
976,Crystal structure of the prefusion surface glycoprotein of the prototypic arenavirus LCMV,"Hastie, Kathryn M.; Igonet, Sebastien; Sullivan, Brian M.; Legrand, Pierre; Zandonatti, Michelle A.; Robinson, James E.; Garry, Robert F.; Rey, Felix A.; Oldstone, Michael B.; Saphire, Erica Mann","Arenaviruses exist worldwide and can cause hemorrhagic fever and neurologic disease. A single glycoprotein expressed on the viral surface mediates entry into target cells. This glycoprotein, termed GPC, contains a membrane-associated signal peptide, a receptor-binding subunit termed GP1 and a fusion-mediating subunit termed GP2. Although GPC is a critical target of antibodies and vaccines, the structure of the metastable GP1-GP2 prefusion complex has remained elusive for all arenaviruses. Here we describe the crystal structure of the fully glycosylated prefusion GP1-GP2 complex of the prototypic arenavirus LCMV at 3.5 angstrom. This structure reveals the conformational changes that the arenavirus glycoprotein must undergo to cause fusion and illustrates the fusion regions and potential oligomeric states.",2016.0,Jun,Nature Structural & Molecular Biology,23,6,513-521,WOS:000377421800013,,,#1244,Hastie 2016,,,EXCLUDE,EXCLUDE
977,Mutational analysis of the Lassa virus promoter,"Hass, Meike; Westerkofsky, Martina; Mueller, Stefanie; Becker-Ziaja, Beate; Busch, Carola; Guenther, Stephan","The promoter sequences directing viral gene expression and genome replication of arenaviruses reside within the 3' and 5' termini of each RNA segment. The terminal 19 nucleotides at both ends are highly conserved among all arenavirus species and are almost completely complementary to each other. This study aimed at characterizing the Lassa virus promoter in detail. The relevance of each position in the promoter was studied by site-directed mutagenesis using the Lassa virus minireplicon system. The data indicate that the Lassa virus promoter functions as a duplex, regulates transcription and replication in a coordinated manner, and is composed of two functional elements, a sequence-specific region from residue I to 12 and a variable complementary region from residue 13 to 19. The first region appears to interact with the replication complex mainly via base-specific interactions, while in the second region solely base pairing between 3' and 5' promoter ends is important for promoter function.",2006.0,Dec,Journal of Virology,80,24,12414-12419,WOS:000242617900055,,,#1245,Hass 2006,,,EXCLUDE,EXCLUDE
978,"Mutational Evidence for a Structural Model of the Lassa Virus RNA Polymerase Domain and Identification of Two Residues, Gly1394 and Asp1395, That Are Critical for Transcription but Not Replication of the Genome","Hass, Meike; Lelke, Michaela; Busch, Carola; Becker-Ziaja, Beate; Guenther, Stephan","The RNA-dependent RNA polymerase (RdRp) of arenaviruses is an integral part of the L protein, a 200-kDa multifunctional and multidomain protein. In view of the paucity of structural data, we recently proposed a model for the RdRp domain of arenaviruses based on the folding of RdRps of plus-strand viruses (S.Vieth et al., Virology 318: 153-168, 2004). In the present study, we have chosen a large-scale mutagenesis approach to gain insight into the structure and function of the Lassa virus RdRp domain. A total of 180 different mutants of the domain were generated by using a novel PCR-based mutagenesis technique and tested in the context of the Lassa virus replicon system. Nearly all residues, which were essential for function, clustered in the center of the three-dimensional model including the catalytic site, while residues that were less important for function mapped to the periphery of the model. The combined bioinformatics and mutagenesis data allowed deducing candidate residues for ligand interaction. Mutation of two adjacent residues in the putative palm-thumb subdomain junction, G1394 and D1395 (strain AV), led to a defect in mRNA synthesis but did not affect antigenomic RNA synthesis. In conclusion, the data provide circumstantial evidence for the existence of an RdRp domain between residues 1040 and 1540 of the Lassa virus L protein and the folding model of the domain. A functional element within the RdRp was identified, which is important for transcription but not replication of the genome.",2008.0,Oct,Journal of Virology,82,20,10207-10217,WOS:000260109100037,,,#1246,Hass 2008,,,EXCLUDE,EXCLUDE
979,Whole Blood-Based Multiplex Immunoassays for the Evaluation of Human Biomarker Responses to Emerging Viruses in Resource-Limited Regions,"Harmon, Jessica R.; Nichol, Stuart T.; Spiropoulou, Christina F.; McElroy, Anita K.","Many emerging viruses such as Ebola and Lassa occur in resource-limited areas of the world. The advent of multiplex immunoassays has facilitated the study of biomarkers of disease since only small amounts of clinical material are required; however, such assays are designed and validated for only plasma or serum. This is a significant impediment when studying infectious diseases in the context of an outbreak in a developing nation. Plasma or serum can be difficult to obtain in the field due to the need for additional processing of infectious materials. Evaluation of multiplex immunoassays using frozen and thawed human whole blood (WB) would permit additional analysis using a more readily available human clinical sample. In this study, frozen and thawed human WB was directly compared with frozen and thawed plasma from normal healthy donors in a series of multiplexed immunoassays for 59 different biomarkers. We demonstrate thatmost important biomarkers can be evaluated using thawedWB, which will facilitate the study of human cytokine and other biomarker responses to viruses emerging in resource-limited regions.",2017.0,Nov,Viral Immunology,30,9,671-674,WOS:000414394200008,,,#1248,Harmon 2017,,,EXCLUDE,EXCLUDE
980,Like-acetylglucosaminyltransferase (LARGE)-dependent modification of dystroglycan at Thr-317/319 is required for laminin binding and arenavirus infection,"Hara, Yuji; Kanagawa, Motoi; Kunz, Stefan; Yoshida-Moriguchi, Takako; Satz, Jakob S.; Kobayashi, Yvonne M.; Zhu, Zihan; Burden, Steven J.; Oldstone, Michael B. A.; Campbell, Kevin P.","alpha-dystroglycan is a highly O-glycosylated extracellular matrix receptor that is required for anchoring of the basement membrane to the cell surface and for the entry of Old World arenaviruses into cells. Like-acetylglucosaminyltransferase (LARGE) is a key molecule that binds to the N-terminal domain of a-dystroglycan and attaches ligand-binding moieties to phosphorylated O-mannose on a-dystroglycan. Here we show that the LARGE modification required for laminin-and virus-binding occurs on specific Thr residues located at the extreme N terminus of the mucin-like domain of a-dystroglycan. Deletion and mutation analyses demonstrate that the ligand-binding activity of a-dystroglycan is conferred primarily by LARGE modification at Thr-317 and -319, within the highly conserved first 18 amino acids of the mucin-like domain. The importance of these paired residues in laminin-binding and clustering activity on myoblasts and in arenavirus cell entry is confirmed by mutational analysis with full-length dystroglycan. We further demonstrate that a sequence of five amino acids, Thr(317)ProThr(319)ProVal, contains phosphorylated O-glycosylation and, when modified by LARGE is sufficient for laminin-binding. Because the N-terminal region adjacent to the paired Thr residues is removed during posttranslational maturation of dystroglycan, our results demonstrate that the ligand-binding activity resides at the extreme N terminus of mature a-dystroglycan and is crucial for a-dystroglycan to coordinate the assembly of extracellular matrix proteins and to bind arenaviruses on the cell surface.",2011.0,Oct 18,Proceedings of the National Academy of Sciences of the United States of America,108,42,17426-17431,WOS:000295975300043,,,#1249,Hara 2011,,,EXCLUDE,EXCLUDE
